SampleId_1404,Region_1404,Group_1404,OriginalSampleName_1404,SampleId_1394,Region_1394,Group_1394,OriginalSampleName_1394,Distance,SameRegion
12,زنجان,G3,04-22,29,خراسان رضوی,G6,94-28,702.1703334822341,False
12,زنجان,G3,04-22,34,فارس,G7,94-30,1104.1981355299524,False
12,زنجان,G3,04-22,36,فارس,G7,94-32,1170.2355556437572,False
12,زنجان,G3,04-22,37,قم,G8,94-33,1110.8986017754428,False
12,زنجان,G3,04-22,39,یزد,G9,94-35,970.7475881865679,False
12,زنجان,G3,04-22,40,یزد,G9,94-36,642.9618299950907,False
14,اراک,G4,04-4,1,سمنان,G1,94-1,2178.864704822371,False
14,اراک,G4,04-4,2,سمنان,G1,94-2,1970.5348781557698,False
14,اراک,G4,04-4,4,اصفهان,G2,94-5,1919.9485813585593,False
14,اراک,G4,04-4,9,زنجان,G3,94-7,1800.8557404995115,False
14,اراک,G4,04-4,10,زنجان,G3,94-8,1426.670068334955,False
14,اراک,G4,04-4,13,اراک,G4,94-9,1654.3271766912558,True
14,اراک,G4,04-4,20,خراسان شمالی,G5,94-13,3119.251327172977,False
14,اراک,G4,04-4,24,خراسان رضوی,G6,94-21,1991.371070477242,False
14,اراک,G4,04-4,25,خراسان رضوی,G6,94-22,1695.9664645512253,False
14,اراک,G4,04-4,26,خراسان رضوی,G6,94-25,1474.8385691558499,False
14,اراک,G4,04-4,27,خراسان رضوی,G6,94-26,1919.7943353951725,False
14,اراک,G4,04-4,28,خراسان رضوی,G6,94-27,1992.7765108446713,False
14,اراک,G4,04-4,29,خراسان رضوی,G6,94-28,2179.7881677377973,False
14,اراک,G4,04-4,34,فارس,G7,94-30,1797.962427903731,False
14,اراک,G4,04-4,36,فارس,G7,94-32,2492.4931420412217,False
14,اراک,G4,04-4,37,قم,G8,94-33,1855.6034787588217,False
14,اراک,G4,04-4,39,یزد,G9,94-35,1834.8489741934595,False
14,اراک,G4,04-4,40,یزد,G9,94-36,2709.006805007357,False
15,اراک,G4,04-5,1,سمنان,G1,94-1,863.368724325066,False
15,اراک,G4,04-5,2,سمنان,G1,94-2,789.3018085160429,False
15,اراک,G4,04-5,4,اصفهان,G2,94-5,907.1453954768742,False
15,اراک,G4,04-5,9,زنجان,G3,94-7,872.8315706682674,False
15,اراک,G4,04-5,10,زنجان,G3,94-8,1044.4376860733807,False
15,اراک,G4,04-5,13,اراک,G4,94-9,790.6547643001912,True
15,اراک,G4,04-5,20,خراسان شمالی,G5,94-13,2119.5074398863403,False
15,اراک,G4,04-5,24,خراسان رضوی,G6,94-21,1329.6608232556375,False
15,اراک,G4,04-5,25,خراسان رضوی,G6,94-22,721.5399713829868,False
15,اراک,G4,04-5,26,خراسان رضوی,G6,94-25,1143.725565288522,False
15,اراک,G4,04-5,27,خراسان رضوی,G6,94-26,732.5488353051999,False
15,اراک,G4,04-5,28,خراسان رضوی,G6,94-27,1391.9490972943877,False
15,اراک,G4,04-5,29,خراسان رضوی,G6,94-28,960.2954396952341,False
15,اراک,G4,04-5,34,فارس,G7,94-30,1227.1541946237223,False
15,اراک,G4,04-5,36,فارس,G7,94-32,1225.7866259207317,False
15,اراک,G4,04-5,37,قم,G8,94-33,796.8186326904791,False
15,اراک,G4,04-5,39,یزد,G9,94-35,998.0625858725066,False
15,اراک,G4,04-5,40,یزد,G9,94-36,1265.2884371460166,False
16,اراک,G4,04-6,1,سمنان,G1,94-1,801.9221161167113,False
16,اراک,G4,04-6,2,سمنان,G1,94-2,577.150451369588,False
16,اراک,G4,04-6,4,اصفهان,G2,94-5,1092.4552459501756,False
16,اراک,G4,04-6,9,زنجان,G3,94-7,1046.87411497379,False
16,اراک,G4,04-6,10,زنجان,G3,94-8,1027.1335145882065,False
16,اراک,G4,04-6,13,اراک,G4,94-9,948.059972988706,True
16,اراک,G4,04-6,20,خراسان شمالی,G5,94-13,1913.9037818351937,False
16,اراک,G4,04-6,24,خراسان رضوی,G6,94-21,1077.7323098024308,False
16,اراک,G4,04-6,25,خراسان رضوی,G6,94-22,546.5721354984292,False
16,اراک,G4,04-6,26,خراسان رضوی,G6,94-25,963.8178059154702,False
