ppm,reference_mean,target_mean,mean_difference,standardized_effect,absolute_effect
6.14796,0.6066172161275405,1.3696460556440748,0.7630288395165343,173.79245792976636,173.79245792976636
7.71794,-0.6890419699400276,2.0006610421741384,2.6897030121141663,173.73325130135618,173.73325130135618
8.73194,-0.8443985172180721,-1.571486629376605,-0.7270881121585329,-173.5456120744661,173.5456120744661
6.88195,-0.06303452826396076,-0.5221360752608948,-0.459101546996934,-173.38068156686242,173.38068156686242
7.70394,-0.705756595770473,3.877228066213593,4.5829846619840655,172.35351721018262,172.35351721018262
8.23094,-0.7705910176951543,-1.3723820791279258,-0.6017910614327715,-172.31435632867135,172.31435632867135
8.66294,-0.8862349883556673,-1.4782128794333977,-0.5919778910777305,-170.70742751849767,170.70742751849767
5.97196,0.3037989778453967,-0.16986083912234215,-0.47365981696773884,-170.58169193225942,170.58169193225942
7.59695,-0.7213401902060077,0.8391140957507911,1.5604542859567987,170.18532514965224,170.18532514965224
7.69494,-0.6908628024246475,5.032050719723332,5.72291352214798,170.13273529106934,170.13273529106934
6.14496,0.5718817188889809,1.1351772652857042,0.5632955463967233,170.12796226130834,170.12796226130834
8.45894,-0.7748412358828909,-1.1433668378323945,-0.36852560194950357,-168.24902742250964,168.24902742250964
7.73694,-0.8105425402842511,0.3852872856264266,1.1958298259106777,166.52582328800614,166.52582328800614
8.07494,-0.7727647865555113,1.7886605285656223,2.5614253151211335,166.1982818071363,166.1982818071363
6.11896,0.6256338066414362,1.2578695268907552,0.632235720249319,164.92884715798263,164.92884715798263
7.64794,-0.6972461729624562,0.7070747431935994,1.4043209161560557,162.90400867000605,162.90400867000605
8.19294,-0.8372772040676164,-0.6629216857490549,0.17435551831856155,162.19179884257062,162.19179884257062
7.65894,-0.724158435369125,0.8953801293922606,1.6195385647613856,161.6770003406619,161.6770003406619
6.38395,3.6937555925271015,-0.11247948669905465,-3.8062350792261563,-160.93643287990167,160.93643287990167
6.39095,3.5168929043475416,-0.4901084372101013,-4.007001341557643,-160.56728114349002,160.56728114349002
7.59295,-0.6816997222481678,1.0110314914617682,1.692731213709936,158.55111529779566,158.55111529779566
6.38995,3.6029312816378387,-0.3787744381669868,-3.9817057198048253,-158.27184806227288,158.27184806227288
7.07095,-0.3444794339653112,0.7920512409605832,1.1365306749258943,157.8209900259661,157.8209900259661
8.07694,-0.7772831454047777,1.5355371321307112,2.312820277535489,157.4352900962076,157.4352900962076
8.84294,-0.874047779153444,-1.3811549607975568,-0.5071071816441128,-156.4487045050623,156.4487045050623
8.12594,-0.781424948899206,0.11761437579257064,0.8990393246917766,154.35448468923272,154.35448468923272
6.39195,3.476668549133865,-0.4594695509327976,-3.9361381000666626,-153.08670678820005,153.08670678820005
7.68994,-0.745224735345924,4.673673610507477,5.4188983458534015,151.85749993888402,151.85749993888402
8.49794,-0.8490507139513568,-1.3016604347333354,-0.4526097207819786,-151.67333016278823,151.67333016278823
6.17596,0.6810683312874488,1.752103257139638,1.0710349258521892,151.22244955677544,151.22244955677544
7.59095,-0.663061353020777,0.7522811318824579,1.4153424849032348,150.66376749734923,150.66376749734923
7.10495,-0.30556662712562144,1.2628129075559753,1.5683795346815967,149.48143461208574,149.48143461208574
