ppm,reference_mean,target_mean,mean_difference,standardized_effect,absolute_effect
5.55296,3.5283336669347927,-0.36193746914569264,-3.8902711360804854,-33.330450287201174,33.330450287201174
6.39395,3.3755510828938102,-0.31440183697890833,-3.6899529198727183,-32.89736938663237,32.89736938663237
6.37795,3.8217313465956613,-0.30661784760311966,-4.128349194198781,-32.28061211212117,32.28061211212117
5.55796,3.4484842294755977,-0.36965478639524885,-3.8181390158708464,-30.85555355215305,30.85555355215305
6.39495,3.399583039739955,-0.3179564994807076,-3.7175395392206627,-30.630145186013046,30.630145186013046
6.38895,3.6599914259224042,-0.32687936135679957,-3.9868707872792037,-30.037229775321347,30.037229775321347
5.55896,3.447042639540733,-0.37151894224477905,-3.818561581785512,-29.883503373411866,29.883503373411866
6.39895,3.205712044906881,-0.3245640619235049,-3.530276106830386,-29.741985759251257,29.741985759251257
6.40095,3.177008644543627,-0.3258584473423254,-3.5028670918859524,-29.40575603871782,29.40575603871782
6.39795,3.235567300214795,-0.3188559129454054,-3.5544232131602005,-28.958829761718395,28.958829761718395
6.39995,3.1877185549355795,-0.32472515630124565,-3.512443711236825,-28.450880505810574,28.450880505810574
6.37195,3.8509199244841055,-0.30242938619339926,-4.153349310677505,-28.450009738561644,28.450009738561644
5.54196,3.1979820617814907,-0.3709401120482081,-3.568922173829699,-28.241073806284284,28.241073806284284
6.37295,3.795699567459523,-0.29645271997884753,-4.0921522874383705,-28.060612914706784,28.060612914706784
5.54096,3.1594416469670135,-0.3658858431280008,-3.5253274900950142,-27.6807495691647,27.6807495691647
6.37395,3.7682221044469064,-0.2976427892785661,-4.065864893725473,-26.876479544184647,26.876479544184647
6.39595,3.2763861874292544,-0.3323374164296839,-3.6087236038589383,-26.286234554754497,26.286234554754497
6.40195,3.0476091139735297,-0.32134891366955404,-3.368958027643084,-26.018470806024563,26.018470806024563
6.37095,3.8426672554259973,-0.295598399591218,-4.138265655017215,-25.216044720667153,25.216044720667153
6.39695,3.2086629422118573,-0.3266322775136001,-3.5352952197254575,-25.12499631975403,25.12499631975403
