Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,Split,Repeat,Fold,Accuracy,BalancedAccuracy,MacroF1
PLS-DA,4,Raw,raw,308 nm,15,8,1,0.2857142857142857,0.25,0.1575757575757576
PLS-DA,4,Raw,raw,308 nm,16,8,2,0.21052631578947367,0.2,0.13019607843137254
PLS-DA,4,Raw,raw,308 nm,17,9,1,0.19047619047619047,0.11363636363636363,0.05429292929292929
PLS-DA,4,Raw,raw,308 nm,18,9,2,0.15789473684210525,0.1,0.0808080808080808
PLS-DA,4,Raw,raw,308 nm,19,10,1,0.2857142857142857,0.22727272727272727,0.13441558441558443
PLS-DA,4,Raw,raw,308 nm,20,10,2,0.2631578947368421,0.225,0.16999999999999998
PLS-DA,4,Raw,raw,308 nm,21,11,1,0.25,0.19696969696969696,0.13403263403263405
PLS-DA,4,Raw,raw,308 nm,22,11,2,0.15,0.075,0.02727272727272727
PLS-DA,4,Raw,raw,308 nm,23,12,1,0.23809523809523808,0.20454545454545456,0.14520202020202022
PLS-DA,4,Raw,raw,308 nm,24,12,2,0.21052631578947367,0.2,0.09666666666666665
PLS-DA,4,Raw,raw,308 nm,25,13,1,0.25,0.22727272727272727,0.14992025518341306
PLS-DA,4,Raw,raw,308 nm,26,13,2,0.2,0.2,0.09848484848484848
PLS-DA,4,Raw,raw,308 nm,27,14,1,0.23809523809523808,0.20454545454545456,0.12727272727272726
PLS-DA,4,Raw,raw,308 nm,28,14,2,0.21052631578947367,0.2,0.11363636363636363
PLS-DA,4,Raw,raw,308 nm,29,15,1,0.19047619047619047,0.18181818181818182,0.07272727272727274
PLS-DA,4,Raw,raw,308 nm,30,15,2,0.21052631578947367,0.175,0.13529411764705884
PLS-DA,4,Raw,raw,308 nm,31,16,1,0.23809523809523808,0.2196969696969697,0.12342657342657343
PLS-DA,4,Raw,raw,308 nm,32,16,2,0.21052631578947367,0.25,0.16352941176470587
PLS-DA,4,Raw,raw,308 nm,33,17,1,0.25,0.2196969696969697,0.12575757575757576
PLS-DA,4,Raw,raw,308 nm,34,17,2,0.2,0.2,0.16
PLS-DA,4,Raw,raw,308 nm,35,18,1,0.15,0.08333333333333333,0.06433566433566434
PLS-DA,4,Raw,raw,308 nm,36,18,2,0.15,0.175,0.11843137254901961
PLS-DA,4,Raw,raw,308 nm,37,19,1,0.2,0.19696969696969696,0.08706293706293707
PLS-DA,4,Raw,raw,308 nm,38,19,2,0.25,0.225,0.16363636363636364
PLS-DA,4,Raw,raw,308 nm,39,20,1,0.2,0.18181818181818182,0.08931419457735247
PLS-DA,4,Raw,raw,308 nm,40,20,2,0.2,0.175,0.09696969696969697
PLS-DA,4,Raw,raw,Combined,1,1,1,0.2,0.11363636363636363,0.07045454545454545
PLS-DA,4,Raw,raw,Combined,2,1,2,0.25,0.2,0.1159090909090909
PLS-DA,4,Raw,raw,Combined,3,2,1,0.23809523809523808,0.20454545454545456,0.10303030303030303
PLS-DA,4,Raw,raw,Combined,4,2,2,0.3157894736842105,0.225,0.14714285714285716
PLS-DA,4,Raw,raw,Combined,5,3,1,0.15,0.09090909090909091,0.07459207459207459
PLS-DA,4,Raw,raw,Combined,6,3,2,0.25,0.2,0.13999999999999999
PLS-DA,4,Raw,raw,Combined,7,4,1,0.25,0.13636363636363635,0.08403361344537816
PLS-DA,4,Raw,raw,Combined,8,4,2,0.25,0.2,0.09696969696969697
PLS-DA,4,Raw,raw,Combined,9,5,1,0.2,0.20454545454545456,0.14125874125874127
PLS-DA,4,Raw,raw,Combined,10,5,2,0.3,0.225,0.14285714285714282
PLS-DA,4,Raw,raw,Combined,11,6,1,0.2,0.17424242424242423,0.14393939393939392
PLS-DA,4,Raw,raw,Combined,12,6,2,0.25,0.21666666666666665,0.11515151515151514
PLS-DA,4,Raw,raw,Combined,13,7,1,0.2,0.18181818181818182,0.09469696969696968
PLS-DA,4,Raw,raw,Combined,14,7,2,0.15,0.075,0.028708133971291863
PLS-DA,4,Raw,raw,Combined,15,8,1,0.23809523809523808,0.20454545454545456,0.125
PLS-DA,4,Raw,raw,Combined,16,8,2,0.2631578947368421,0.2,0.125
PLS-DA,4,Raw,raw,Combined,17,9,1,0.19047619047619047,0.1590909090909091,0.09469696969696968
PLS-DA,4,Raw,raw,Combined,18,9,2,0.15789473684210525,0.075,0.028708133971291863
PLS-DA,4,Raw,raw,Combined,19,10,1,0.23809523809523808,0.18181818181818182,0.09805194805194804
PLS-DA,4,Raw,raw,Combined,20,10,2,0.2631578947368421,0.15,0.08931419457735247
PLS-DA,4,Raw,raw,Combined,21,11,1,0.2,0.17424242424242423,0.14918414918414918
PLS-DA,4,Raw,raw,Combined,22,11,2,0.2,0.11666666666666665,0.0808080808080808
PLS-DA,4,Raw,raw,Combined,23,12,1,0.14285714285714285,0.06818181818181818,0.03409090909090909
PLS-DA,4,Raw,raw,Combined,24,12,2,0.21052631578947367,0.125,0.06844919786096257
PLS-DA,4,Raw,raw,Combined,25,13,1,0.25,0.20454545454545456,0.12424242424242425
PLS-DA,4,Raw,raw,Combined,26,13,2,0.25,0.225,0.12554112554112554
PLS-DA,4,Raw,raw,Combined,27,14,1,0.19047619047619047,0.11363636363636363,0.06844919786096257
PLS-DA,4,Raw,raw,Combined,28,14,2,0.2631578947368421,0.125,0.08831168831168831
PLS-DA,4,Raw,raw,Combined,29,15,1,0.23809523809523808,0.20454545454545456,0.09875222816399289
PLS-DA,4,Raw,raw,Combined,30,15,2,0.21052631578947367,0.1,0.07529411764705882
PLS-DA,4,Raw,raw,Combined,31,16,1,0.2857142857142857,0.2424242424242424,0.14658674658674659
PLS-DA,4,Raw,raw,Combined,32,16,2,0.15789473684210525,0.125,0.05775401069518716
PLS-DA,4,Raw,raw,Combined,33,17,1,0.2,0.17424242424242423,0.08658008658008658
PLS-DA,4,Raw,raw,Combined,34,17,2,0.25,0.125,0.070995670995671
PLS-DA,4,Raw,raw,Combined,35,18,1,0.2,0.10606060606060605,0.08857808857808858
PLS-DA,4,Raw,raw,Combined,36,18,2,0.15,0.175,0.1319073083778966
PLS-DA,4,Raw,raw,Combined,37,19,1,0.2,0.17424242424242423,0.09940059940059941
PLS-DA,4,Raw,raw,Combined,38,19,2,0.3,0.15,0.09696969696969697
PLS-DA,4,Raw,raw,Combined,39,20,1,0.25,0.20454545454545456,0.12567783094098883
PLS-DA,4,Raw,raw,Combined,40,20,2,0.1,0.125,0.07272727272727272
PLS-DA,4,SNV,snv,440 nm,1,1,1,0.25,0.12878787878787878,0.08236208236208237
PLS-DA,4,SNV,snv,440 nm,2,1,2,0.25,0.125,0.07832167832167833
PLS-DA,4,SNV,snv,440 nm,3,2,1,0.19047619047619047,0.10606060606060605,0.08181818181818182
PLS-DA,4,SNV,snv,440 nm,4,2,2,0.21052631578947367,0.125,0.06493506493506493
PLS-DA,4,SNV,snv,440 nm,5,3,1,0.2,0.09848484848484848,0.06168831168831169
PLS-DA,4,SNV,snv,440 nm,6,3,2,0.25,0.125,0.07988980716253442
PLS-DA,4,SNV,snv,440 nm,7,4,1,0.2,0.1212121212121212,0.08795749704840614
PLS-DA,4,SNV,snv,440 nm,8,4,2,0.25,0.125,0.08484848484848485
PLS-DA,4,SNV,snv,440 nm,9,5,1,0.25,0.1212121212121212,0.07792207792207792
PLS-DA,4,SNV,snv,440 nm,10,5,2,0.2,0.1,0.06464646464646463
PLS-DA,4,SNV,snv,440 nm,11,6,1,0.2,0.09848484848484848,0.0771349862258953
PLS-DA,4,SNV,snv,440 nm,12,6,2,0.3,0.15833333333333333,0.11301587301587301
PLS-DA,4,SNV,snv,440 nm,13,7,1,0.15,0.06818181818181818,0.04195804195804196
PLS-DA,4,SNV,snv,440 nm,14,7,2,0.1,0.05,0.03535353535353535
PLS-DA,4,SNV,snv,440 nm,15,8,1,0.19047619047619047,0.10606060606060605,0.0610298792116974
PLS-DA,4,SNV,snv,440 nm,16,8,2,0.15789473684210525,0.1,0.08319559228650138
PLS-DA,4,SNV,snv,440 nm,17,9,1,0.09523809523809523,0.06818181818181818,0.04250295159386069
PLS-DA,4,SNV,snv,440 nm,18,9,2,0.10526315789473684,0.06666666666666667,0.027972027972027972
PLS-DA,4,SNV,snv,440 nm,19,10,1,0.23809523809523808,0.13636363636363635,0.08333333333333333
PLS-DA,4,SNV,snv,440 nm,20,10,2,0.21052631578947367,0.10833333333333332,0.06216006216006216
PLS-DA,4,SNV,snv,440 nm,21,11,1,0.3,0.17424242424242423,0.11652892561983473
