SampleId,Wavelength,AUC,AbsAUC,MaxIntensity,MinIntensity,MeanIntensity,MedianIntensity,StdIntensity,RangeIntensity,P95Intensity,P05Intensity,ActualClass,Year
44,308,0.31269091155910006,0.31273415322828074,0.5065343,-3.884733e-05,0.010423074672562113,0.0021957310000000002,0.033617828978351916,0.50657314733,0.024781598999999974,-3.847479699999997e-06,G11,1404
1,440,708873.0344534,778380.7602785766,1845250.0,-37172.0,23628.09537037037,-7.0,140200.55437079503,1882422.0,84468.93333333329,-3618.366666666667,G1,1394
3,440,0.4791086183212324,0.47939331076412417,1.952058,-0.0001816154,0.015970266682576,0.00010353325,0.11874631745347429,1.9522396154000001,0.03403232099999998,-3.355742e-05,G1,1404
4,440,983054.6071826417,1044758.5438272784,2586113.0,-44084.0,32767.627962962968,-42.5,203192.72059333694,2630197.0,85356.99999999983,-3128.8999999999996,G2,1394
5,440,0.527445084819028,0.5277165806687417,1.875185,-0.0002074093,0.01758148694230589,0.0001604706,0.11868681344856072,1.8753924093,0.03790283949999998,-2.24441335e-05,G2,1404
6,440,0.43685172654530036,0.43711791961457824,1.907963,-0.0001768172,0.01456168693835569,0.00016006825,0.10519030915627599,1.9081398172000001,0.03079224049999994,-2.9093027499999993e-05,G2,1404
7,440,0.3923583892478216,0.3929803348973439,1.77411,-0.0001939684,0.013078595274363109,0.00016950070000000002,0.09366251018023608,1.7743039684000002,0.02663876499999998,-6.5031644e-05,G2,1404
8,440,0.44374706741374603,0.4443544471904031,1.963765,-0.0002044588,0.014791524977387331,6.5907835e-05,0.1199922074032308,1.9639694588,0.024471229999999955,-8.86827675e-05,G2,1404
9,440,742284.3043815902,809944.4976209567,2461563.6666666665,-37377.0,24741.93666666667,-94.66666666666666,173577.3662363891,2498940.6666666665,65489.549999999996,-3188.7,G3,1394
10,440,909963.990532545,960721.4625091451,2534133.3333333335,-43411.0,30331.29092592593,40.0,182910.08335146972,2577544.3333333335,96840.1333333333,-2972.0833333333335,G3,1394
11,440,0.4284159255481302,0.4288671696470918,1.887445,-0.0001953095,0.014280494046558278,7.863343e-05,0.10645499447135423,1.8876403095,0.03039885299999999,-4.849136349999999e-05,G3,1404
12,440,0.48660129717529704,0.48697978887589727,1.931494,-0.0001691878,0.01622001415691772,0.00012215975,0.1146593558192597,1.9316631878000001,0.03575302149999996,-4.830956e-05,G3,1404
13,440,1081712.9072046902,1128523.5253002401,2527990.6666666665,-44892.333333333336,36056.229999999996,129.16666666666669,191348.79366533726,2572883.0,130220.66666666666,-2998.7833333333333,G4,1394
14,440,0.4759580669033648,0.47667351089822857,1.995634,-0.0002670139,0.015865197778224687,7.8573825e-05,0.12550626318000155,1.9959010139,0.026598121999999988,-6.899535849999999e-05,G4,1404
15,440,0.5179590489489436,0.5180453605008023,1.993142,-0.0001091212,0.017265284813447725,0.0001643449,0.12429828362395678,1.9932511212,0.03808333949999999,3.841519300000002e-06,G4,1404
16,440,0.4641084864064387,0.464732906896491,1.937741,-0.0002074689,0.015470251098857333,6.957352e-05,0.114534859816637,1.9379484689,0.032895651499999984,-6.537139e-05,G4,1404
17,440,0.514635876728376,0.5155387046196303,1.952495,-0.0001646429,0.017154513860449888,7.3298815e-05,0.12145704775947272,1.9526596429,0.04004472949999998,-7.380545e-05,G4,1404
18,440,0.591912092610803,0.5938436255645347,1.673002,-0.0003344864,0.01973039062869789,4.7937034999999994e-05,0.12017927712730145,1.6733364864,0.04020496099999998,-0.000134512805,G4,1404
19,440,0.49590891432291406,0.49642924542781275,1.969864,-0.000189811,0.016530247897122,7.69794e-05,0.12051225201042892,1.970053811,0.03616255249999997,-5.39124e-05,G4,1404
20,440,587716.4358294415,663372.7095148984,1944272.0,-39889.333333333336,19589.497592592594,-299.5,130416.97012009376,1984161.3333333333,61957.46666666664,-3723.366666666667,G5,1394
21,440,0.5277373974129772,0.5277496625757002,2.011344,-5.502999e-05,0.017591298255023112,0.00035636125,0.13240353077771735,2.0113990299899998,0.03044515849999997,3.4806136000000004e-05,G5,1404
22,440,0.452732851400577,0.4527996021438618,1.952964,-0.0001091212,0.015091089030507722,0.0001817495,0.11443733184963673,1.9530731211999999,0.026825810999999963,9.801984250000004e-06,G5,1404
