SampleId,ActualClass,Modality,SilhouetteCorrelation,SilhouetteEuclidean,CorrelationStructure,EuclideanStructure
32,خراسان رضوی,440 nm,-0.9242529058051713,-0.6858247914285607,OutsideOwnCluster,OutsideOwnCluster
17,اراک,440 nm,-0.9221379132476941,-0.7053394146018563,OutsideOwnCluster,OutsideOwnCluster
26,خراسان رضوی,440 nm,-0.9192210576613526,-0.6908015266493224,OutsideOwnCluster,OutsideOwnCluster
8,اصفهان,440 nm,-0.9042125682075542,-0.5862409649073564,OutsideOwnCluster,OutsideOwnCluster
31,خراسان رضوی,440 nm,-0.9024807690466717,-0.692775041831615,OutsideOwnCluster,OutsideOwnCluster
6,اصفهان,440 nm,-0.8838133308750089,-0.5147118141293267,OutsideOwnCluster,OutsideOwnCluster
1,سمنان,440 nm,-0.8780346292967363,-0.6542341951165044,OutsideOwnCluster,OutsideOwnCluster
9,زنجان,440 nm,-0.8755549821270995,-0.5912792105883629,OutsideOwnCluster,OutsideOwnCluster
10,زنجان,440 nm,-0.8557346036634326,-0.5597419807852935,OutsideOwnCluster,OutsideOwnCluster
7,اصفهان,440 nm,-0.8437479581634562,-0.4375450806288287,OutsideOwnCluster,OutsideOwnCluster
22,خراسان شمالی,440 nm,-0.8359206158866738,-0.5995309280664876,OutsideOwnCluster,OutsideOwnCluster
12,زنجان,440 nm,-0.8096039524783846,-0.5613215000047822,OutsideOwnCluster,OutsideOwnCluster
38,قم,440 nm,-0.7333996763682825,-0.48370248091212775,OutsideOwnCluster,OutsideOwnCluster
18,اراک,440 nm,-0.732679717703135,-0.469768830692861,OutsideOwnCluster,OutsideOwnCluster
24,خراسان رضوی,440 nm,-0.7114851187474196,-0.42663697225704744,OutsideOwnCluster,OutsideOwnCluster
3,سمنان,440 nm,-0.5862203553190293,-0.46127840170493334,OutsideOwnCluster,OutsideOwnCluster
40,یزد,440 nm,-0.38239042767470394,-0.23606050550662402,OutsideOwnCluster,OutsideOwnCluster
14,اراک,440 nm,-0.3717647593768056,-0.08702089599913496,OutsideOwnCluster,OutsideOwnCluster
16,اراک,440 nm,-0.3099474085773576,-0.037901158067165444,OutsideOwnCluster,OutsideOwnCluster
21,خراسان شمالی,440 nm,-0.19682684152662983,-0.10790644032972303,OutsideOwnCluster,OutsideOwnCluster
15,اراک,440 nm,-0.17925666881558394,-0.1366874882251799,OutsideOwnCluster,OutsideOwnCluster
23,خراسان شمالی,Combined,-0.954481452779582,-0.7838357923842431,OutsideOwnCluster,OutsideOwnCluster
11,زنجان,Combined,-0.8988247455407411,-0.6800250393396907,OutsideOwnCluster,OutsideOwnCluster
5,اصفهان,Combined,-0.8830434566266027,-0.589174840208118,OutsideOwnCluster,OutsideOwnCluster
37,قم,Combined,-0.8727092627014781,-0.6433664129240315,OutsideOwnCluster,OutsideOwnCluster
30,خراسان رضوی,Combined,-0.8595404615930815,-0.5836365146006215,OutsideOwnCluster,OutsideOwnCluster
1,سمنان,Combined,-0.8592284871016774,-0.6248254005668229,OutsideOwnCluster,OutsideOwnCluster
31,خراسان رضوی,Combined,-0.847269530214853,-0.594682525979743,OutsideOwnCluster,OutsideOwnCluster
4,اصفهان,Combined,-0.8410323608665148,-0.6021814777240001,OutsideOwnCluster,OutsideOwnCluster
6,اصفهان,Combined,-0.8396544298820723,-0.5406051176359938,OutsideOwnCluster,OutsideOwnCluster
33,خراسان رضوی,Combined,-0.8255590340092342,-0.5390091679523534,OutsideOwnCluster,OutsideOwnCluster
32,خراسان رضوی,Combined,-0.8249705038186156,-0.5423313875659558,OutsideOwnCluster,OutsideOwnCluster
13,اراک,Combined,-0.8193926574254949,-0.575488642130262,OutsideOwnCluster,OutsideOwnCluster
22,خراسان شمالی,Combined,-0.8021302661561628,-0.5447738006580511,OutsideOwnCluster,OutsideOwnCluster
20,خراسان شمالی,Combined,-0.7910755124278591,-0.5431734558984396,OutsideOwnCluster,OutsideOwnCluster
7,اصفهان,Combined,-0.7746838359533751,-0.42756816299738176,OutsideOwnCluster,OutsideOwnCluster
8,اصفهان,Combined,-0.7160375051666531,-0.36935117989843813,OutsideOwnCluster,OutsideOwnCluster
19,اراک,Combined,-0.7132741947754562,-0.4297819072834797,OutsideOwnCluster,OutsideOwnCluster
3,سمنان,Combined,-0.7031757480481609,-0.4981514968085441,OutsideOwnCluster,OutsideOwnCluster
38,قم,Combined,-0.693061189406623,-0.44601989219539795,OutsideOwnCluster,OutsideOwnCluster
12,زنجان,Combined,-0.6757572889249919,-0.4255005625852046,OutsideOwnCluster,OutsideOwnCluster
17,اراک,Combined,-0.637164399344189,-0.3774773740274731,OutsideOwnCluster,OutsideOwnCluster
10,زنجان,Combined,-0.6053681474588721,-0.32011757476274133,OutsideOwnCluster,OutsideOwnCluster
18,اراک,Combined,-0.580720452875065,-0.3425803934454867,OutsideOwnCluster,OutsideOwnCluster
27,خراسان رضوی,Combined,-0.48864912138859096,-0.2552123764034377,OutsideOwnCluster,OutsideOwnCluster
9,زنجان,Combined,-0.48625120788394877,-0.22445078560490284,OutsideOwnCluster,OutsideOwnCluster
26,خراسان رضوی,Combined,-0.4812662407708931,-0.26817074015395004,OutsideOwnCluster,OutsideOwnCluster
28,خراسان رضوی,Combined,-0.4772918701989325,-0.2421452493810546,OutsideOwnCluster,OutsideOwnCluster
24,خراسان رضوی,Combined,-0.4381491389909445,-0.23226021475525518,OutsideOwnCluster,OutsideOwnCluster
14,اراک,Combined,-0.4195230045350435,-0.13069841969032966,OutsideOwnCluster,OutsideOwnCluster
16,اراک,Combined,-0.4159053924711302,-0.11200867701854311,OutsideOwnCluster,OutsideOwnCluster
15,اراک,Combined,-0.33931933522289776,-0.06751922466993672,OutsideOwnCluster,OutsideOwnCluster
21,خراسان شمالی,Combined,-0.23343748509481693,-0.11732629028134005,OutsideOwnCluster,OutsideOwnCluster
