SampleId,HPLCNumber,Group,Region,HarvestYear,Min,Median,Mean,Std,Max,PeakTimeMin,AUC,NegativePoints,MissingPoints
21,04-3,G5,خراسان شمالی,1404,-4.75347e-06,0.002194777,0.008208408462711722,0.03162954590726924,0.6163943,17.96667,0.24624862818320845,3,0
22,04-12,G5,خراسان شمالی,1404,-8.40053e-05,0.002002634,0.009171398508665,0.031755803899373845,0.608792,17.98333,0.2751423481806016,185,0
23,04-23,G5,خراسان شمالی,1404,-0.0001052693,0.0016131325,0.009052329447000667,0.029962493989078565,0.4400817,21.43333,0.2715706346396339,226,0
24,17,G6,خراسان رضوی,1394,-24040.333333333332,629.8333333333333,7441.212777777777,23885.880908670344,215172.33333333334,17.2,223278.9128972267,645,0
26,20,G6,خراسان رضوی,1394,-7700.0,433.0,13918.962777777779,30420.95821008023,224257.5,18.75,417616.8304905375,507,0
27,21,G6,خراسان رضوی,1394,-8839.5,391.0,8809.342222222222,28099.64708532032,329381.5,23.31667,264328.60802324,485,0
28,22,G6,خراسان رضوی,1394,-22111.333333333332,682.6666666666667,9841.543333333333,28495.925893190786,309489.6666666667,17.38333,295293.804618335,636,0
30,04-1,G6,خراسان رضوی,1404,-1.27703e-05,0.0012976975,0.008862218140475499,0.03541864329064392,0.5862774,18.01667,0.26586390241125835,16,0
31,04-11,G6,خراسان رضوی,1404,-0.0005268902,0.0008560568000000001,0.007762118112701288,0.03243610018022314,0.5818481,17.98333,0.232867726131476,368,0
32,04-16,G6,خراسان رضوی,1404,-3.914535e-05,0.001244739,0.008536624498364537,0.03818364339865849,0.7339427,18.03333,0.2559564336133565,167,1
33,04-18,G6,خراسان رضوی,1404,-0.0001085177,0.0011920555,0.008407480188273335,0.031783772950507716,0.5394415,18.01667,0.2522222100163392,161,0
34,24,G7,فارس,1394,-20401.333333333332,737.8333333333333,7187.672592592592,27960.964494934753,338887.0,17.0,215681.10745666834,583,0
36,25,G7,فارس,1394,-29141.0,618.0,4845.590740740741,19848.332956165443,210842.33333333334,16.95,145415.27330812998,615,0
37,26,G8,قم,1394,-23297.0,562.6666666666666,6495.6646296296285,23017.349610047822,257483.66666666666,16.93333,194911.12387084,574,0
38,04-2,G8,قم,1404,-7.4476e-05,0.001433045,0.007382521327978501,0.023765661838255497,0.3071636,18.03333,0.22147481513543749,166,0
39,28,G9,یزد,1394,-25243.333333333332,997.5,7053.015,23230.094062985314,268921.3333333333,16.86667,211629.62933686498,550,0
40,29,G9,یزد,1394,-13378.966666666667,528.6750000000001,3738.09795,12311.949853382217,142528.30666666667,16.86667,112163.70354853844,550,0
41,04-8,G10,قزوین,1404,-8.095801e-05,0.002514705,0.012399577294937665,0.03804926138278876,0.4996551,17.98333,0.3719864127077796,158,0
