SampleId,HPLCNumber,Group,Region,HarvestYear,Min,Median,Mean,Std,Max,PeakTimeMin,AUC,NegativePoints,MissingPoints
15,04-5,G4,اراک,1404,-5.019456e-05,0.001102798,0.006190729616931667,0.02352449714971375,0.3089348,17.91667,0.18571703197320316,116,0
16,04-6,G4,اراک,1404,-4.141778e-05,0.0010940505,0.005640777161334945,0.020825217562519576,0.2675315,17.91667,0.16921797463349844,105,0
17,04-7,G4,اراک,1404,-2.971292e-05,0.0013009014999999999,0.006567745692199443,0.026618450538741366,0.3420804,14.43333,0.197028256652901,122,0
18,04-14,G4,اراک,1404,-0.001157306,0.00020668655,0.005652216657351667,0.025211422343727394,0.2967176,14.31667,0.16957178560424857,804,0
19,04-15,G4,اراک,1404,-2.074987e-05,0.0010392595,0.006235715716355,0.026341922088608406,0.3240433,14.35,0.18706994065121405,51,0
20,10,G5,خراسان شمالی,1394,-26281.0,204.0,5386.645370370371,34498.07052230178,414465.0,13.15,161649.19717350835,750,0
21,04-3,G5,خراسان شمالی,1404,-5.960464e-08,0.0016265515,0.007262040787016733,0.02678549261425353,0.363888,17.83333,0.2178518450219201,2,0
22,04-12,G5,خراسان شمالی,1404,-1.060963e-05,0.0008853674,0.0061258647560437215,0.028573022667957505,0.3765453,14.33333,0.18377423568775175,26,0
23,04-23,G5,خراسان شمالی,1404,-1.575053e-05,0.0006222576,0.00469549982473011,0.023982703230524927,0.4139333,14.35,0.14086449444470905,50,0
24,17,G6,خراسان رضوی,1394,-27198.666666666668,447.5,11025.183148148148,65771.12746670425,901053.3333333334,13.11667,330801.4978870783,699,0
26,20,G6,خراسان رضوی,1394,-23535.666666666668,640.6666666666667,7386.178888888889,41029.10005583028,532961.6666666666,13.26667,221626.47574334164,662,0
27,21,G6,خراسان رضوی,1394,-26348.0,446.3333333333333,10970.707962962964,65887.14896193105,837510.3333333334,13.2,329165.29393018666,709,0
28,22,G6,خراسان رضوی,1394,-25749.0,565.6666666666667,6171.756111111111,36233.501228795474,439081.0,13.2,185196.0029972,714,0
30,04-1,G6,خراسان رضوی,1404,-0.0001978502,0.00025156885000000005,0.006438697145889334,0.043359692385119254,0.7536231,14.38333,0.1931619703691447,695,0
31,04-11,G6,خراسان رضوی,1404,-2.001971e-05,0.0008940771,0.005558049142464106,0.024511279819713246,0.306607,14.35,0.1667402412733609,84,0
32,04-16,G6,خراسان رضوی,1404,-2.011657e-05,0.0005449355,0.006448057021895261,0.0407475557789966,0.7048871,14.36667,0.1934412768912697,99,0
33,04-18,G6,خراسان رضوی,1404,-1.895428e-05,0.00073456765,0.006654425100392,0.03803149408751503,0.6448592,14.4,0.19963137453346969,101,0
34,24,G7,فارس,1394,-24965.0,451.16666666666663,10762.95537037037,67421.16102723272,892055.6666666666,13.21667,322933.1094273217,748,0
36,25,G7,فارس,1394,-21407.0,645.6666666666666,12490.95388888889,74703.35808134424,971844.3333333334,13.15,374767.12314938003,735,0
37,26,G8,قم,1394,-21841.333333333332,457.3333333333333,11580.417962962965,68529.72507936713,918650.3333333334,13.08333,347451.56829231675,718,0
38,04-2,G8,قم,1404,-2.311915e-05,0.001094945,0.006200232909224746,0.027756866638245118,0.3500299,14.38333,0.18600497994090204,21,0
39,28,G9,یزد,1394,-25047.0,918.3333333333333,9303.205925925924,49723.922910827496,648296.3333333334,13.13333,279140.92420156836,724,0
40,29,G9,یزد,1394,-28020.333333333332,378.3333333333333,10207.74685185185,67884.87963680142,922391.0,13.15,306278.04288281006,730,0
41,04-8,G10,قزوین,1404,-2.448261e-05,0.0008035450999999999,0.005514335061896334,0.02513598332455276,0.4024845,14.33333,0.16542910627816898,104,0
42,04-9,G10,قزوین,1404,-1.41412e-05,0.00071637335,0.00624591479694549,0.033493345606438,0.5480539,14.33333,0.1873761699884937,24,0
43,04-24,G11,لرستان,1404,-6.951392e-06,0.00080605595,0.005054073312867889,0.022101689145710948,0.3548979,14.35,0.15162122391563593,30,0
44,04-25,G11,لرستان,1404,-1.358986e-05,0.00068843365,0.005260422960099554,0.0258439498023848,0.4310553,14.35,0.15781192248578407,33,0
