SampleId,ActualClass,Modality,Year,OwnGroupSimilarity,NearestOtherGroup,NearestOtherSimilarity,SimilarityGap,OwnGroupWin,GroupSize
22,G5,250 nm,1404,0.8782368095128611,G4,0.9606403282896768,-0.08240351877681573,False,3
23,G5,250 nm,1404,0.8516963558288452,G11,0.9881236610471978,-0.13642730521835267,False,3
30,G6,250 nm,1404,0.9847188104844234,G3,0.9148246110304292,0.06989419945399422,True,4
31,G6,250 nm,1404,0.865058617794503,G4,0.9570401262284336,-0.0919815084339306,False,4
32,G6,250 nm,1404,0.9695319153467675,G11,0.9562281511461755,0.013303764200591983,True,4
33,G6,250 nm,1404,0.9440916453740774,G3,0.9302516138048652,0.013840031569212208,True,4
41,G10,250 nm,1404,0.9961390991112175,G2,0.9633675060710536,0.03277159304016386,True,2
42,G10,250 nm,1404,0.996139099111218,G2,0.9904247999399924,0.0057142991712255675,True,2
43,G11,250 nm,1404,0.9988674932115499,G2,0.9508074075790787,0.04806008563247122,True,2
44,G11,250 nm,1404,0.9988674932115502,G2,0.971492621837458,0.027374871374092224,True,2
9,G3,308 nm,1394,0.9310592344148357,G6,0.35958573560405105,0.5714734988107847,True,2
10,G3,308 nm,1394,0.9310592344148367,G7,0.48033845861464136,0.4507207758001954,True,2
24,G6,308 nm,1394,0.7024220427339887,G3,0.49774217266205933,0.20467987007192934,True,4
26,G6,308 nm,1394,0.4578391199806131,G7,0.1647774508042579,0.29306166917635523,True,4
27,G6,308 nm,1394,0.7047990702642226,G3,0.08290055756646264,0.62189851269776,True,4
28,G6,308 nm,1394,0.8084305056731184,G3,0.2904557132339293,0.5179747924391891,True,4
34,G7,308 nm,1394,0.9637342356424375,G3,0.42439931064577824,0.5393349249966592,True,2
36,G7,308 nm,1394,0.9637342356424377,G9,0.61187759159117,0.3518566440512677,True,2
39,G9,308 nm,1394,1.0,G7,0.496003152846353,0.503996847153647,True,2
40,G9,308 nm,1394,1.0,G7,0.4960031528463246,0.5039968471536753,True,2
5,G2,308 nm,1404,0.9469846032131962,G11,0.9425920848091306,0.004392518404065626,True,4
6,G2,308 nm,1404,0.9302511636701594,G11,0.931575824833174,-0.001324661163014662,False,4
7,G2,308 nm,1404,0.9544055338357921,G5,0.9457560216237468,0.00864951221204524,True,4
8,G2,308 nm,1404,0.9294091763582284,G6,0.9530276286874714,-0.023618452329242978,False,4
