Wavelength,ActualClass,AUC_mean,AUC_median,AUC_std,AbsAUC_mean,AbsAUC_median,AbsAUC_std,MaxIntensity_mean,MaxIntensity_median,MaxIntensity_std,MinIntensity_mean,MinIntensity_median,MinIntensity_std,MeanIntensity_mean,MeanIntensity_median,MeanIntensity_std,MedianIntensity_mean,MedianIntensity_median,MedianIntensity_std,StdIntensity_mean,StdIntensity_median,StdIntensity_std,RangeIntensity_mean,RangeIntensity_median,RangeIntensity_std,P95Intensity_mean,P95Intensity_median,P95Intensity_std,P05Intensity_mean,P05Intensity_median,P05Intensity_std
308,G7,180548.19038239916,180548.19038239916,49685.44781216075,271934.7336977292,271934.7336977292,47994.46256285573,274864.6666666667,274864.6666666667,90541.25209477109,-24771.166666666664,-24771.166666666664,6179.877565310032,6016.631666666666,6016.631666666666,1656.1019595383902,677.9166666666666,677.9166666666666,84.73496261218789,23904.648725550098,23904.648725550098,5736.496774331635,299635.8333333333,299635.8333333333,84361.37452946103,32562.51666666664,32562.51666666664,5467.821036655145,-5928.2,-5928.2,130.3904904507991
308,G8,97455.67267282757,97455.67267282757,137822.82081141847,133771.44217416426,133771.44217416426,189181.07438101032,128741.98691513333,128741.98691513333,182068.2295473121,-11648.500037238,-11648.500037238,16473.46662864051,3247.836006075478,3247.836006075478,4593.12328769382,281.3340498558333,281.3340498558333,397.86440223179346,11508.68668785483,11508.68668785483,16275.707189345705,140390.4869523713,140390.4869523713,198541.6961759526,16437.87979717891,16437.87979717891,23246.635407132108,-2504.3333450605487,-2504.3333450605487,3541.6621481182347
308,G9,161896.6664427017,161896.6664427017,70333.0306219236,217804.17867998962,217804.17867998962,94621.02157677381,205724.82,205724.82,89373.36625069212,-19311.15,-19311.15,8389.374124483635,5395.556475,5395.556475,2344.000325125906,763.0875000000001,763.0875000000001,331.50933668978314,17771.021958183766,17771.021958183766,7720.293808582988,225035.96999999997,225035.96999999997,97762.74037517572,27332.034749999973,27332.034749999973,11873.900057797557,-3651.61275,-3651.61275,1586.3760323690985
440,G1,354436.75678100914,354436.75678100914,501248.5908813313,389190.6198359437,389190.6198359437,550397.9749558611,922625.976029,922625.976029,1304787.4076710276,-18586.0000908077,-18586.0000908077,26284.573141844863,11814.055670318527,11814.055670318527,16707.57517022749,-3.499948233375,-3.499948233375,4.949820677368986,70100.33655855624,70100.33655855624,99136.6787553761,941211.9761198077,941211.9761198077,1331071.9808128725,42234.483682827144,42234.483682827144,59728.53149510942,-1809.1833501120434,-1809.1833501120434,2558.5715830906847
440,G10,0.508079376163137,0.508079376163137,0.018648567839293858,0.5082208863267883,0.5082208863267883,0.01859848489510648,1.882138,1.882138,0.07107413100418462,-0.0001273379,-0.0001273379,2.808034165176769e-05,0.016935960757993265,0.016935960757993265,0.0006216175746663982,0.00016770510000000001,0.00016770510000000001,2.8248915908402562e-05,0.11880269961528905,0.11880269961528905,0.009072902233225627,1.8822653379,1.8822653379,0.0710460506625329,0.035221800999999976,0.035221800999999976,0.00046159859965176446,-7.961688099999996e-06,-7.961688099999996e-06,2.035903173753056e-05
440,G11,0.4523595526818006,0.4523595526818006,0.001379144202616348,0.45263707662915054,0.45263707662915054,0.001311047235862583,1.8700465,1.8700465,0.015743732483118465,-0.00022099914999999999,-0.00022099914999999999,6.423181223603302e-05,0.015078605238587972,0.015078605238587972,4.6004471089604055e-05,0.0001307279,0.0001307279,2.267500528434338e-05,0.10735591077520248,0.10735591077520248,0.0025588808117750863,1.8702674991500001,1.8702674991500001,0.015807964295354377,0.03443363149999998,0.03443363149999998,0.000985907671299879,-2.849996175e-05,-2.849996175e-05,6.777210850613702e-06
440,G2,196611.28151698195,0.44374706741374603,439635.1841598578,208952.06919931216,0.4443544471904031,467230.023325649,517224.10420460004,1.907963,1156544.0522232503,-8816.800156530739,-0.0002044588,19714.9640565168,6553.5375952514205,0.014791524977387331,14654.122007631462,-8.499888810523,0.00016006825,19.006639965602655,40638.63162503543,0.11868681344856072,90870.49823841834,526040.9043611308,1.9081398172000001,1176259.0162797673,17071.423961014963,0.03079224049999994,38172.797476475585,-625.7800410503144,-6.5031644e-05,1399.286596011995
440,G3,413062.3024828395,371142.3954914437,481850.1114343533,442666.7189942651,404972.4923003728,514839.94967109454,1248925.20473475,1230782.7990803332,1442436.6846976797,-20197.000091124326,-18688.50009765475,23451.22455421391,13768.3145232752,12370.976443340413,16061.181982278937,-13.666616468371664,0.00010039658999999999,57.197529535882964,89121.91767555228,86788.74044787245,102979.50576135032,1269122.2048258744,1249471.299164927,1465805.1897277213,40582.437371301945,32744.792876510746,48576.93448280398,-1540.195857533564,-1486.0416909123485,1780.6622281259647
440,G4,154530.85252673944,0.514635876728376,408848.85612662695,161218.08436622773,0.5155387046196303,426541.6064251812,361143.1697920952,1.969864,955489.9342888271,-6413.19065798252,-0.0002074689,16967.707030325146,5150.904573698011,0.017154513860449888,13627.967544252786,18.452453910594528,7.69794e-05,48.82037892549091,27335.645736188682,0.12145704775947272,72323.00019422933,367556.36045007774,1.970053811,972457.6413191521,18602.98295086038,0.03808333949999999,49218.77217151476,-428.3976751556025,-6.899535849999999e-05,1133.4335375108926
440,G5,146929.45239191042,0.4902351244067771,293857.98895835923,165843.5209578025,0.49027463235978097,331686.1257047351,486069.425422,1.982154,972135.0497186738,-9972.333429799732,-0.0001654178,19944.666602355737,4897.385845963642,0.016341193642765418,9794.741164419473,-74.87484252079875,0.0001367777775,149.75010498617445,32604.32810818187,0.12342043131367704,65208.428007942995,496041.7588517997,1.982236075595,992079.7163210292,15489.388143160535,0.029540082249999978,30978.719015670773,-930.84167268897,-2.9447674625e-05,1861.683329318465
440,G6,414130.36282390275,326142.1183371026,457173.9964933388,443701.11735578056,356163.6026894461,488423.3138020119,1069441.6419942917,876982.1566486666,1176159.0425031597,-21004.708479251094,-19283.5002108589,22572.11042503585,13803.914442225228,10870.976815334654,15238.680748466531,-7.291650802517729,-1.668184925e-05,26.968203398884103,81730.4503653937,65116.150059240914,90616.68639156099,1090446.3504735427,896265.6567656854,1198502.6708682394,44850.63979493753,35972.51806452724,48665.34647734786,-1528.8229862621702,-1371.0501135855925,1641.0712087758616
440,G7,931505.8353123609,931505.8353123609,32209.376905893925,987725.217928066,987725.217928066,24813.246993352088,2571296.666666667,2571296.666666667,55424.915127484484,-41143.0,-41143.0,2828.42712474619,31049.395462962966,31049.395462962966,1073.7436114172783,4.249999999999999,4.249999999999999,13.55287997274216,192609.67383041815,192609.67383041815,4493.132066243307,2612439.666666667,2612439.666666667,52596.4880027383,92770.72499999998,92770.72499999998,3836.4903371187584,-2924.3916666666664,-2924.3916666666664,292.32972845553826
440,G8,471700.2648888228,471700.2648888228,667084.2708900181,497421.1882146691,497421.1882146691,703459.1490295682,1264837.9340436668,1264837.9340436668,1788748.7900585982,-18234.16677360487,-18234.16677360487,25787.00564733796,15722.951444211125,15722.951444211125,22235.589803258667,15.333454442533334,15.333454442533334,21.68443668211429,95428.03308170266,95428.03308170266,134955.47808907105,1283072.1008172717,1283072.1008172717,1814535.795705936,45794.1333429724,45794.1333429724,64762.63728303801,-1383.6750144556167,-1383.6750144556167,1956.811930473263
440,G9,888465.4678615367,888465.4678615367,3852.17546554656,951077.4237399467,951077.4237399467,1208.919761369797,2519111.0,2519111.0,11996.773649610965,-39235.5,-39235.5,1089.6515498084698,29614.626759259263,29614.626759259263,128.42329319640305,-42.333333333333336,-42.333333333333336,6.599663291074441,182676.32366405585,182676.32366405585,6532.042432986905,2558346.5,2558346.5,10907.122099802496,100946.52499999997,100946.52499999997,19183.77161825198,-3182.725,-3182.725,92.80776503073436
