Modality,GroupA,GroupB,CentroidSimilarity,CentroidDistance
440 nm,G7,G9,0.9816347172027613,8.097304806416778
440 nm,G3,G6,0.9526545496486591,8.548822619538855
440 nm,G10,G2,0.9471842087086906,14.418109318619466
440 nm,G10,G4,0.915576793511305,18.377606179688716
440 nm,G11,G2,0.9123959152503625,17.81021766651137
440 nm,G3,G8,0.8786909779396974,14.3909545709771
440 nm,G2,G4,0.8737439769714846,16.90217730061237
440 nm,G10,G11,0.873164847535143,21.26659254309201
440 nm,G4,G5,0.8725404144368771,15.410030966054741
440 nm,G6,G8,0.8692323680144881,14.980002588168384
440 nm,G2,G5,0.8468624599094656,18.90452207482285
440 nm,G5,G6,0.8109143051641323,16.580275902198746
440 nm,G2,G6,0.8051340209086693,20.57734268275926
440 nm,G10,G5,0.798055463894825,26.646395156146426
440 nm,G3,G5,0.7884102103947057,17.277870041362412
440 nm,G2,G3,0.7581760245607734,22.65259430550553
440 nm,G11,G4,0.7307181291596409,28.949942292446657
440 nm,G6,G7,0.7027966740210245,30.133203812160414
440 nm,G3,G7,0.7027471943804539,30.169823620845005
440 nm,G4,G6,0.6999893473064468,23.151329361493637
440 nm,G3,G4,0.6976714441439906,23.104609453730067
440 nm,G1,G5,0.6965655083898182,22.15985324179646
440 nm,G11,G5,0.6905321630628222,30.9328040585698
440 nm,G7,G8,0.6871059799137216,30.74155126661309
440 nm,G6,G9,0.6771606977757358,31.063167706652372
440 nm,G1,G4,0.6688380600931645,25.086479331910535
440 nm,G11,G6,0.6674344977148767,31.578658555281024
440 nm,G8,G9,0.6494297425947344,32.20487629931061
440 nm,G3,G9,0.6376546064954053,32.51791713013408
440 nm,G10,G6,0.6289793228460765,32.713854111965205
440 nm,G1,G9,0.623504185194294,33.24338089023667
440 nm,G5,G8,0.621202143174099,24.464549616264982
440 nm,G1,G6,0.6104847052209444,25.831174805974403
440 nm,G10,G3,0.5896984273738853,34.05196819340956
440 nm,G11,G3,0.589695559779203,34.33513170089164
440 nm,G2,G8,0.5814316069359867,29.910668598098965
440 nm,G1,G7,0.5793282821771468,34.961203497498516
440 nm,G1,G3,0.5417604015510181,27.787147101725942
440 nm,G11,G8,0.5191679302427546,37.12500197761004
440 nm,G4,G8,0.5020689989317398,30.62222258722158
440 nm,G1,G2,0.4471018108660254,34.39609776594126
440 nm,G1,G8,0.4329216065896453,32.167595355142744
440 nm,G5,G7,0.43037641518867786,38.82024738966366
440 nm,G1,G10,0.4274020383856988,39.96541448208001
440 nm,G5,G9,0.4146718277345437,39.184308191555346
440 nm,G10,G8,0.372592625804743,41.58030701529397
440 nm,G2,G7,0.23546472722186185,47.96983224507538
440 nm,G2,G9,0.22343150267559994,48.27847004523066
440 nm,G1,G11,0.2079338474563862,46.730946413657264
440 nm,G4,G7,0.18775409507164093,47.640535658886144
440 nm,G4,G9,0.17700124726350513,47.87583377864826
440 nm,G10,G7,-0.002528754096298607,59.699446688539666
440 nm,G10,G9,-0.0032795831699631278,59.66411885502325
440 nm,G11,G7,-0.005252875470134682,60.04399326009267
440 nm,G11,G9,-0.006405207188587661,60.02088071131043
Combined,G10,G2,0.9284979447919041,28.201553815385253
Combined,G11,G2,0.9253853864289552,28.94949284607628
Combined,G10,G4,0.8879526658414381,34.5668514964211
Combined,G10,G11,0.8839021850595725,35.16835781505452
Combined,G4,G5,0.869004298888636,27.71436083852967
