SampleId,ActualClass,Year,Normalization,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
16,G4,1404,Raw,308 nm,-319135.58967193385,-27672.086826827206,33861.7818599077,-25844.830611591955,-15260.842795951687,-12.5239043833365,-9120.650739111552,-7822.109137135741,-4975.60888325459,-4419.704261216581
17,G4,1404,Raw,308 nm,-319135.5994399091,-27672.006558822726,33861.839095612624,-25844.84241431174,-15260.75505704823,-12.521712953057122,-9120.72462986957,-7822.0942958262995,-4975.600031577943,-4419.768366361164
18,G4,1404,Raw,308 nm,-319135.67903582065,-27671.951235101038,33861.81268090288,-25844.717137374053,-15260.786059304319,-12.609062156573641,-9120.794657022716,-7822.104346978456,-4975.578090113972,-4419.69198520394
19,G4,1404,Raw,308 nm,-319135.56516605365,-27672.100022175284,33861.781921074005,-25844.86783049869,-15260.842388670611,-12.487799756747775,-9120.608485250224,-7822.1089338051615,-4975.611623316244,-4419.73287647276
20,G5,1394,Raw,308 nm,374357.0706035742,14728.72062220331,7223.6814795682,-17032.289173350346,231365.9308626438,245070.41621187027,-114946.4902222703,-159418.3093040936,83877.31364886792,306503.2036864522
21,G5,1404,Raw,308 nm,-319135.57809020556,-27672.087410855747,33861.84811737079,-25844.835257660037,-15260.837219081153,-12.546917238632734,-9120.607839846423,-7822.074334135199,-4975.582310204223,-4419.7283791281325
22,G5,1404,Raw,308 nm,-319135.535580801,-27672.059511219264,33861.85155766038,-25844.83581315336,-15260.76813185937,-12.500062826788945,-9120.62925100149,-7822.079880800136,-4975.611372230296,-4419.780351113574
23,G5,1404,Raw,308 nm,-319135.72397086397,-27672.013992656633,33861.83857606456,-25844.75109539501,-15260.708711210225,-12.556909107810554,-9120.827630531965,-7822.15109812748,-4975.6516280288215,-4419.744603934129
24,G6,1394,Raw,308 nm,369509.79485280655,493834.6486390919,197318.3935121921,107839.59361149232,-18980.496131700205,-433699.29941425653,-115197.90725261984,174395.98413268206,312700.1560281873,-6044.951678973476
26,G6,1394,Raw,308 nm,593210.6423774414,263996.9713308806,-629909.6728148435,-747007.0459075465,-280963.9494150383,25274.361267162905,226255.7154475009,57010.50759247241,66769.54868962815,14893.84475348744
27,G6,1394,Raw,308 nm,41780.54715702928,749215.7437242616,-341864.2394452331,594150.1660865982,-408118.9848119857,346698.4819678807,-13544.785571535967,154976.06513664097,15942.474758252805,-10788.43013930886
