SampleId,ActualClass,Year,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
27,G6,1394,440 nm,-3.339654758175206,1.8157545710527296,3.0076188114486895,1.6592723152590094,3.6728396200196705,-0.12582841891985394,-0.5849132191753909,-0.1681884734900876,0.561882866589732,0.8549908391062166
28,G6,1394,440 nm,2.472986045698307,-0.9756171161909131,-1.0025833616188642,2.834199495774515,0.33974947489009805,-0.16851512371175942,1.0651231528222873,-2.218894524662395,-1.2281809329649103,0.020910300092175482
34,G7,1394,440 nm,-5.54834486924454,4.429194197382411,1.9481693433284166,0.8427280618542596,0.3459388988899158,-0.6120374747920946,-0.5585388517163847,-0.883489112977558,0.11547475257577738,-0.027850834831793077
36,G7,1394,440 nm,-0.0992440108820981,3.928234799615362,-0.7279089701300824,-0.5746620231723604,1.014551177444553,-0.6717580644743762,-0.0007342519815992312,0.9861092728507906,0.47138375347690176,-1.0081960183925947
37,G8,1394,440 nm,6.007480186024075,1.766188239959203,2.8090228534021606,-1.0693476091704508,1.147956196021944,-0.07368286110556294,0.5376897815412963,0.15216510567442523,0.2740886695368328,-0.7632512577538244
39,G9,1394,440 nm,-13.360603046429613,3.3057183395677106,2.400932591349504,2.162903753975529,-2.3294650911177692,0.3173872856870191,-1.0349498649256235,0.5060668426267843,-1.197869626913588,-0.12124062023679696
40,G9,1394,440 nm,-6.446543112487529,5.6593344883696215,-0.020606515356447547,0.370275307608703,-2.5677752100729623,1.3227440911505262,-0.15120565958371876,0.14582404689276582,1.3404196098492642,0.6723933605412152
3,G1,1404,440 nm,-31.111563608061182,-10.633010526568507,-6.993214410908051,-6.328745655888184,-3.7013473498639256,1.066060521576172,0.14569871787626731,-0.8038652732521321,0.17781461749723154,-1.3744311650064565
5,G2,1404,440 nm,-0.09692429476958905,9.97525296314316,3.378964102038282,-0.010409675446070223,1.662920666209141,1.2419711586102444,3.3539025710235264,-0.5064554750831025,-0.34841642079245966,-0.22498457037544095
6,G2,1404,440 nm,9.414233091683519,8.19735018246581,5.351998589863015,0.28731941135023326,-4.760841581233582,-1.295059770639476,-0.1818838617815474,-0.41800038635334985,-0.989978568364134,-0.1029882464394322
7,G2,1404,440 nm,8.750706421243308,8.715048090638861,5.468820000154075,1.4901950594001236,-4.927017226805979,-1.6703605983271097,-1.4810112035625427,-2.24214381901318,-2.164699627776746,-0.25016348143704853
8,G2,1404,440 nm,1.97547866046242,11.308455172865322,4.271120306929854,1.8851675941739099,0.8944402053135472,2.7020148178914147,-1.7295686802321921,1.2854777125431462,-1.8642327803942718,-0.6778290808175134
11,G3,1404,440 nm,-13.336937303951384,11.47569004598907,0.6302204032610478,5.6785244026278425,1.6647129043744548,-2.63104786979072,0.9096429748301825,-0.1083139360257173,2.042254567008947,-0.19916480174806964
12,G3,1404,440 nm,22.86297605469796,-15.50828057685172,-8.247970478833825,-3.895193076332305,4.381969566901205,-5.047701264802824,1.9331615826269566,0.7410198142773325,-1.455974887114654,-1.4241756141719142
14,G4,1404,440 nm,-27.167523965106447,-0.35058848872429454,-7.5624140210553525,-1.2240498186059683,1.0890894615262325,0.5291571348555533,-2.307636095687155,0.7569951197702286,-0.32889612663589274,0.6981119873303061
15,G4,1404,440 nm,-30.539394988050738,-9.004918129796343,-6.940903989579972,-5.665346743282143,-3.3417992656022446,0.8377054852787994,0.3578630381924901,-0.47063474543528894,0.347716583098649,-1.3601272800098718
16,G4,1404,440 nm,-28.75743029712049,-2.595754385870404,-7.874507685973831,-3.1095788288793202,0.1342777309927787,-0.19889420274120648,1.5656235641469964,1.0840126040825964,-1.1562922132935665,2.655414351450946
17,G4,1404,440 nm,8.575926009284801,8.298429717443454,4.324366797368401,-1.4042165931158472,0.043887552573117786,2.5235162312022976,1.2440979088773139,1.6901250136946164,0.7985945230175541,-0.2230088872914335
18,G4,1404,440 nm,18.461509987904773,-11.18141147201227,-9.51432542183066,10.164523985900924,-0.877770496264167,4.2367889601170825,0.8588852705694117,-1.1849111619349395,0.9221535646105439,-0.4648328907154319
19,G4,1404,440 nm,-5.111334085161391,11.957486308957055,2.5718045301056396,4.2033514125249045,-0.679784610737421,-1.4734994607681688,-0.8132457691874859,1.6120018141422445,0.5757304525289861,-1.2111247257109699
21,G5,1404,440 nm,-18.801911745522162,-36.1628284681564,26.25484045668595,3.681273583996422,1.5117524997179526,-0.06492029457559713,-0.13566021519665056,0.10417163183749112,-0.01210516476857061,0.20011731258536034
22,G5,1404,440 nm,-20.024752063332386,7.752004977385145,-2.895248195671334,4.954642058464254,1.8989020621988828,-2.7380459098212095,-1.8742175391417935,-2.346445591140165,0.965764008282495,0.6565946707763096
23,G5,1404,440 nm,16.85199450521984,1.887283802425568,3.8291010433765655,-4.438829128842641,-3.777493466716754,-0.3573831140645389,1.0683748813519398,0.884191509921415,3.1502749611207737,0.4999825328829492
30,G6,1404,440 nm,15.469789911935262,-1.1415809078336754,-0.49924459244086516,-5.405858136194692,3.6687291208723374,1.9111674001337677,-1.8878754761762895,-1.813275728275397,0.5904873885137822,0.32791178975609186
31,G6,1404,440 nm,-15.023811256091024,10.791980472033288,-0.3859199975622082,4.447664202114831,3.5655179130603996,-0.02346922716425201,-1.6949128338783612,2.6140857378255062,0.37835915192626174,-0.6246464134605667
