SampleId,HPLCNumber,Group,Region,HarvestYear,Wavelength,Max,AUC,PeakHeightRobustZ,AUCRobustZ,Flag
32,04-16,G6,خراسان رضوی,1404,250 nm,0.7048871,0.1934412768912697,2.7671910741592263,0.9016163767619496,False
33,04-18,G6,خراسان رضوی,1404,250 nm,0.6448592,0.19963137453346969,2.30352902431783,1.2619706167074904,False
38,04-2,G8,قم,1404,250 nm,0.3500299,0.18600497994090204,-0.251598597425036,0.4662355602559137,False
41,04-8,G10,قزوین,1404,250 nm,0.4024845,0.16542910627816898,0.24148480468995293,-0.7528203146730051,False
42,04-9,G10,قزوین,1404,250 nm,0.5480539,0.1873761699884937,1.5189097304579637,0.5467209893340575,False
43,04-24,G11,لرستان,1404,250 nm,0.3548979,0.15162122391563593,-0.2050390036338919,-1.5830223689464062,False
44,04-25,G11,لرستان,1404,250 nm,0.4310553,0.15781192248578407,0.5023532946154085,-1.209581060888699,False
1,1,G1,سمنان,1394,308 nm,336597.3333333333,275102.71046507836,0.9042961504216963,0.39442961091857853,False
4,3,G2,اصفهان,1394,308 nm,421523.0,224813.1392295017,1.6636519570405368,-0.40384980809389676,False
9,5,G3,زنجان,1394,308 nm,254629.66666666666,352966.89328521665,-0.03761921784650605,1.3799661120599302,False
10,6,G3,زنجان,1394,308 nm,203235.66666666666,338864.013773605,-0.7985160989598884,1.2187267839604023,False
13,7,G4,اراک,1394,308 nm,279481.5,460981.01550791756,0.27669058716802786,2.43570400087526,False
20,10,G5,خراسان شمالی,1394,308 nm,146788.5,248986.37812510997,-1.8966838024334103,0.0,False
24,17,G6,خراسان رضوی,1394,308 nm,215172.33333333334,223278.9128972267,-0.6058887489651886,-0.4309284066221182,False
26,20,G6,خراسان رضوی,1394,308 nm,224257.5,417616.8304905375,-0.46630901993780455,2.0450454620741576,False
27,21,G6,خراسان رضوی,1394,308 nm,329381.5,264328.60802324,0.8311551603722512,0.23644844088208516,False
28,22,G6,خراسان رضوی,1394,308 nm,309489.6666666667,295293.804618335,0.6209130826549644,0.6745,False
34,24,G7,فارس,1394,308 nm,338887.0,215681.10745666834,0.9271772259383477,-0.5678301033103689,False
36,25,G7,فارس,1394,308 nm,210842.33333333334,145415.27330812998,-0.6745,-2.126651998202321,False
37,26,G8,قم,1394,308 nm,257483.66666666666,194911.12387084,0.0,-0.9682340849371036,False
39,28,G9,یزد,1394,308 nm,268921.3333333333,211629.62933686498,0.14669091346348884,-0.6428169182253876,False
40,29,G9,یزد,1394,308 nm,142528.30666666667,112163.70354853844,-1.9960876307760764,-3.1533262237423805,False
3,04-10,G1,سمنان,1404,308 nm,0.5844144,0.2779945440519019,0.5026117415774404,0.0,False
5,04-27,G2,اصفهان,1404,308 nm,0.4965814,0.3775426486568736,-0.48333700114765865,2.0113449073073473,False
6,04-19,G2,اصفهان,1404,308 nm,0.5390136,0.37959280015288654,0.0,2.0512226270845124,False
7,04-20,G2,اصفهان,1404,308 nm,0.4534879,0.423934258202004,-0.9884406175707035,2.8995115970140044,False
8,04-21,G2,اصفهان,1404,308 nm,0.655428,0.240711298759346,1.260590864546091,-0.7939083441995013,False
11,04-13,G3,زنجان,1404,308 nm,0.4796709,0.2639085327274744,-0.6797912439976425,-0.2971911529142352,False
12,04-22,G3,زنجان,1404,308 nm,0.4909619,0.31614477951090025,-0.5483730298150988,0.7887468222175644,False
14,04-4,G4,اراک,1404,308 nm,0.6273931,0.2148039288676126,0.9653119826590827,-1.3597555744750744,False
15,04-5,G4,اراک,1404,308 nm,0.5960184,0.2895703189130238,0.6287635434455874,0.24178757255375236,False
16,04-6,G4,اراک,1404,308 nm,0.5323046,0.27940549412443805,-0.07552725554020821,0.02958798621897161,False
17,04-7,G4,اراک,1404,308 nm,0.5229509,0.31477602595046505,-0.1813812603678622,0.7608458131350571,False
18,04-14,G4,اراک,1404,308 nm,0.2962607,0.2711214638178481,-2.9675905355822803,-0.14459898707676153,False
19,04-15,G4,اراک,1404,308 nm,0.6002464,0.294164298105202,0.6745,0.3371426805374282,False
21,04-3,G5,خراسان شمالی,1404,308 nm,0.6163943,0.24624862818320845,0.8480750029809678,-0.6745,False
22,04-12,G5,خراسان شمالی,1404,308 nm,0.608792,0.2751423481806016,0.7665743597829976,-0.05991117141572709,False
23,04-23,G5,خراسان شمالی,1404,308 nm,0.4400817,0.2715706346396339,-1.1486341223242658,-0.13512527563415958,False
30,04-1,G6,خراسان رضوی,1404,308 nm,0.5862774,0.26586390241125835,0.5229273068056405,-0.25573873263555624,False
31,04-11,G6,خراسان رضوی,1404,308 nm,0.5818481,0.232867726131476,0.47458770854330956,-0.9639643495062382,False
32,04-16,G6,خراسان رضوی,1404,308 nm,0.7339427,0.2559564336133565,2.0616777842874696,-0.466433228288639,False
33,04-18,G6,خراسان رضوی,1404,308 nm,0.5394415,0.2522222100163392,0.0048059527879919205,-0.5462776461839381,False
38,04-2,G8,قم,1404,308 nm,0.3071636,0.22147481513543749,-2.8227901733951177,-1.2129102813611126,False
41,04-8,G10,قزوین,1404,308 nm,0.4996551,0.3719864127077796,-0.44786745971539405,1.902970847785151,False
42,04-9,G10,قزوین,1404,308 nm,0.6083344,0.3313039355233886,0.761656366528767,1.0958289900587856,False
43,04-24,G11,لرستان,1404,308 nm,0.4097565,0.3005604408662209,-1.516568101629527,0.4693422742641662,False
44,04-25,G11,لرستان,1404,308 nm,0.5065343,0.31269091155910006,-0.3687463464326034,0.7182864518199851,False
