Scenario,Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,PredictionCount,CorrectRate,Stability,MeanDecisionMargin,MedianDecisionMargin,MajorityPredictionCorrect,RobustnessStatus
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,40,G9,G9,20,1.0,1.0,0.28427812486072107,0.14025176877116532,True,STABLE CORRECT
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,41,G10,G2,20,0.0,0.55,0.09239136195887296,0.07210467362767199,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,42,G10,G2,20,0.0,0.7,0.09764110724171496,0.07641320770142507,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,43,G11,G2,20,0.0,0.65,0.14291333652625107,0.13537853661143523,False,MIXED / UNSTABLE
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,44,G11,G2,20,0.0,0.75,0.07500337453282603,0.06676551427592083,False,STABLE INCORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,1,G1,G6,20,0.0,0.6,0.2934139909019947,0.22829560247423117,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,3,G1,G4,20,0.0,0.95,0.4678000847344581,0.49666284961416823,False,STABLE INCORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,4,G2,G6,20,0.0,0.65,0.22036938897133984,0.24188037300166904,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,5,G2,G2,20,0.5,0.5,0.11558578151523355,0.08235921863509285,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,6,G2,G2,20,0.75,0.75,0.15181596270245776,0.13422922503601709,True,STABLE CORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,7,G2,G2,20,0.65,0.65,0.14373818773010527,0.1010902614900272,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,8,G2,G6,20,0.0,0.65,0.2205238885098823,0.15877916430784889,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,9,G3,G6,20,0.05,0.7,0.21333346459939984,0.19409931386028773,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,10,G3,G6,20,0.0,0.4,0.14545671688261502,0.1209174347628485,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,11,G3,G4,20,0.0,0.45,0.0663347570619792,0.05055178388198797,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,12,G3,G6,20,0.0,0.4,0.10676699010103907,0.05027915665702759,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,13,G4,G6,20,0.0,0.4,0.10003198469185497,0.0599911676299575,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,14,G4,G6,20,0.35,0.4,0.14095755331415225,0.13091603626585863,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,15,G4,G4,20,0.65,0.65,0.17352477957317644,0.17553548822526885,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,16,G4,G4,20,0.6,0.6,0.2278529193170165,0.14973278060240297,True,MOSTLY CORRECT / MIXED
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,17,G4,G6,20,0.15,0.7,0.09256739063606181,0.0687401018371009,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,18,G4,G8,20,0.1,0.8,0.9273395950220602,0.9475216832536068,False,STABLE INCORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,19,G4,G6,20,0.35,0.4,0.07213020225656488,0.057185635686056446,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,20,G5,G6,20,0.0,0.65,0.21442776239824438,0.19891200958130822,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,21,G5,G6,20,0.0,0.35,0.3888080708764886,0.32554503417374614,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,22,G5,G4,20,0.0,0.55,0.14605199444571804,0.11597894491449998,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,23,G5,G2,20,0.0,0.45,0.10523762038052265,0.09145512781751584,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,24,G6,G6,20,0.85,0.85,0.46138738543507196,0.4440551623563732,True,STABLE CORRECT
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,26,G6,G4,20,0.2,0.3,0.08043029519998988,0.04819076646627374,False,MIXED / UNSTABLE
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,27,G6,G6,20,0.85,0.85,0.2139914700959833,0.19078043902355646,True,STABLE CORRECT
