SampleId,ActualClass,Modality,OwnGroupSimilarity,NearestOtherGroup,NearestOtherSimilarity,SimilarityGap,OwnGroupWins,GroupSize
34,G7,250 nm,0.8832169906579753,G9,0.8524006286546882,0.03081636200328708,True,2
36,G7,250 nm,0.8832169906579753,G9,0.9909690037770486,-0.10775201311907323,False,2
37,G8,250 nm,-0.02160233614227287,G9,0.9048218891221115,-0.9264242252643844,False,2
38,G8,250 nm,-0.021602336142272867,G11,0.801964633171645,-0.8235669693139179,False,2
39,G9,250 nm,0.9839089492527846,G7,0.932013686222071,0.05189526303071357,True,2
40,G9,250 nm,0.9839089492527846,G7,0.959994952541309,0.02391399671147565,True,2
41,G10,250 nm,0.9845862095562157,G2,0.9316728247423011,0.05291338481391461,True,2
42,G10,250 nm,0.9845862095562157,G2,0.958504221815555,0.026081987740660728,True,2
43,G11,250 nm,0.9954725379894509,G2,0.9192293819877665,0.07624315600168441,True,2
44,G11,250 nm,0.9954725379894509,G2,0.9395723361054871,0.05590020188396383,True,2
1,G1,308 nm,0.11714721595930494,G7,0.8480520070086492,-0.7309047910493442,False,2
3,G1,308 nm,0.11714721595930493,G4,0.9230519914704509,-0.805904775511146,False,2
4,G2,308 nm,0.18849230778543422,G7,0.6726242641567114,-0.48413195637127715,False,5
5,G2,308 nm,0.8605901486467763,G11,0.9425920848091306,-0.0820019361623543,False,5
6,G2,308 nm,0.8200165200513275,G11,0.931575824833174,-0.1115593047818465,False,5
7,G2,308 nm,0.8823108995536098,G11,0.9322405568712003,-0.04992965731759058,False,5
8,G2,308 nm,0.8469839546883978,G11,0.845649483838424,0.0013344708499738456,True,5
9,G3,308 nm,0.4824398336851747,G6,0.3457621829777913,0.13667765070738336,True,4
10,G3,308 nm,0.46491305580610054,G7,0.48033576109620685,-0.015422705290106309,False,4
11,G3,308 nm,0.31369860403602373,G10,0.9666631988209817,-0.652964594784958,False,4
12,G3,308 nm,0.3313222354305918,G11,0.7170774238682537,-0.3857551884376619,False,4
13,G4,308 nm,0.13239561021863583,G7,0.6462146086887842,-0.5138189984701484,False,7
14,G4,308 nm,0.8617181445332859,G10,0.8366397842608023,0.025078360272483557,True,7
15,G4,308 nm,0.9136537005632708,G10,0.8948655203044436,0.018788180258827225,True,7
16,G4,308 nm,0.9175357529729072,G10,0.9093356955699584,0.008200057402948824,True,7
17,G4,308 nm,0.7269618029910547,G11,0.9725258025879971,-0.24556399959694242,False,7
18,G4,308 nm,0.4668915303791728,G8,0.6900123010849822,-0.22312077070580943,False,7
19,G4,308 nm,0.8954340850525349,G10,0.9115517049142411,-0.016117619861706234,False,7
20,G5,308 nm,-0.0002539768081771843,G7,0.5010378894294263,-0.5012918662376035,False,4
