TopK,Split,TrainSize,TestSize,Accuracy,BalancedAccuracy,MacroF1
60,11,20,20,0.2,0.11363636363636363,0.08484848484848485
60,12,20,20,0.2,0.09090909090909091,0.06637806637806637
60,13,20,20,0.2,0.1590909090909091,0.10606060606060605
60,14,20,20,0.3,0.1590909090909091,0.11363636363636363
60,15,20,20,0.35,0.25,0.14958677685950414
60,16,20,20,0.3,0.1590909090909091,0.1313131313131313
60,17,20,20,0.15,0.07575757575757575,0.05021645021645022
60,18,20,20,0.2,0.09090909090909091,0.07107438016528925
60,19,20,20,0.25,0.12878787878787878,0.08484848484848485
60,20,20,20,0.35,0.25,0.17399267399267399
60,21,20,20,0.25,0.1515151515151515,0.1
60,22,20,20,0.25,0.20454545454545456,0.1093073593073593
60,23,20,20,0.25,0.13636363636363635,0.09848484848484848
60,24,20,20,0.1,0.045454545454545456,0.04292929292929293
60,25,20,20,0.2,0.11363636363636363,0.08787878787878788
60,26,20,20,0.15,0.09090909090909091,0.0606060606060606
60,27,20,20,0.2,0.13636363636363635,0.09595959595959597
60,28,20,20,0.25,0.13636363636363635,0.09986225895316804
60,29,20,20,0.2,0.11363636363636363,0.07474747474747476
60,30,20,20,0.3,0.20454545454545456,0.13927738927738928
60,31,20,20,0.35,0.1818181818181818,0.15454545454545454
60,32,20,20,0.05,0.045454545454545456,0.025974025974025972
60,33,20,20,0.3,0.22727272727272727,0.1431235431235431
60,34,20,20,0.1,0.13636363636363635,0.07142857142857142
60,35,20,20,0.3,0.1515151515151515,0.08318478906714201
60,36,20,20,0.45,0.29545454545454547,0.20606060606060606
60,37,20,20,0.15,0.08333333333333333,0.05578512396694215
60,38,20,20,0.3,0.13636363636363635,0.10909090909090909
60,39,20,20,0.15,0.09090909090909091,0.06942148760330578
60,40,20,20,0.2,0.18181818181818182,0.12626262626262627
