Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,CorrectRate,MeanDecisionMargin,PredictionCount
AsLS + L2,asls_l2,440 nm,32,G6,G6,0.6,0.1371660328494798,20
AsLS + L2,asls_l2,440 nm,33,G6,G6,0.6,0.09855008588723965,20
AsLS + L2,asls_l2,440 nm,34,G7,G9,0.0,0.17274542063733628,20
AsLS + L2,asls_l2,440 nm,36,G7,G6,0.0,0.13261494808660942,20
AsLS + L2,asls_l2,440 nm,37,G8,G6,0.0,0.23830567535485417,20
AsLS + L2,asls_l2,440 nm,38,G8,G4,0.0,0.7385467655155218,20
AsLS + L2,asls_l2,440 nm,39,G9,G6,0.0,0.19054684849003434,20
AsLS + L2,asls_l2,440 nm,40,G9,G6,0.0,0.20027757719916955,20
AsLS + L2,asls_l2,440 nm,41,G10,G2,0.0,0.1888500089727902,20
AsLS + L2,asls_l2,440 nm,42,G10,G6,0.0,0.11144356065549574,20
AsLS + L2,asls_l2,440 nm,43,G11,G5,0.05,0.09610275787719984,20
AsLS + L2,asls_l2,440 nm,44,G11,G2,0.2,0.07476670594210598,20
AsLS + L2,asls_l2,Combined,1,G1,G9,0.0,0.15179580882815052,20
AsLS + L2,asls_l2,Combined,3,G1,G4,0.0,0.7218592000003379,20
AsLS + L2,asls_l2,Combined,4,G2,G3,0.0,0.06553292659349012,20
AsLS + L2,asls_l2,Combined,5,G2,G2,0.6,0.13179952393710265,20
AsLS + L2,asls_l2,Combined,6,G2,G2,0.6,0.1130914222584227,20
AsLS + L2,asls_l2,Combined,7,G2,G2,0.55,0.14605534043915444,20
AsLS + L2,asls_l2,Combined,8,G2,G6,0.05,0.24438350061689246,20
AsLS + L2,asls_l2,Combined,9,G3,G6,0.0,0.26547242511815466,20
AsLS + L2,asls_l2,Combined,10,G3,G5,0.05,0.2052682326841738,20
AsLS + L2,asls_l2,Combined,11,G3,G4,0.0,0.12768394394332616,20
AsLS + L2,asls_l2,Combined,12,G3,G6,0.0,0.12652907529125143,20
AsLS + L2,asls_l2,Combined,13,G4,G3,0.0,0.19685385039152067,20
AsLS + L2,asls_l2,Combined,14,G4,G4,0.95,0.26105294807200063,20
AsLS + L2,asls_l2,Combined,15,G4,G4,1.0,0.5600548117684485,20
AsLS + L2,asls_l2,Combined,16,G4,G4,1.0,0.4459465069813616,20
AsLS + L2,asls_l2,Combined,17,G4,G6,0.4,0.11755560477777952,20
AsLS + L2,asls_l2,Combined,18,G4,G4,0.45,0.2866211914706036,20
AsLS + L2,asls_l2,Combined,19,G4,G6,0.3,0.096298486903372,20
AsLS + L2,asls_l2,Combined,20,G5,G3,0.0,0.3179230304792995,20
AsLS + L2,asls_l2,Combined,21,G5,G4,0.05,0.2636969992043597,20
AsLS + L2,asls_l2,Combined,22,G5,G4,0.0,0.14624933315318728,20
AsLS + L2,asls_l2,Combined,23,G5,G6,0.0,0.07520468865517226,20
AsLS + L2,asls_l2,Combined,24,G6,G6,0.75,0.18470563815769375,20
AsLS + L2,asls_l2,Combined,26,G6,G4,0.0,1.0720545902470375,20
AsLS + L2,asls_l2,Combined,27,G6,G6,0.7,1.1391903703542223,20
AsLS + L2,asls_l2,Combined,28,G6,G6,0.65,0.2815880450947924,20
AsLS + L2,asls_l2,Combined,30,G6,G6,0.55,0.1438081151326631,20
AsLS + L2,asls_l2,Combined,31,G6,G4,0.2,0.14865562770415014,20
AsLS + L2,asls_l2,Combined,32,G6,G6,0.55,0.14716886404413915,20
AsLS + L2,asls_l2,Combined,33,G6,G6,0.7,0.12342465810531895,20
AsLS + L2,asls_l2,Combined,34,G7,G9,0.15,0.047452358252621535,20
AsLS + L2,asls_l2,Combined,36,G7,G9,0.05,0.1469626879177888,20
AsLS + L2,asls_l2,Combined,37,G8,G9,0.0,0.13514222021554806,20
AsLS + L2,asls_l2,Combined,38,G8,G4,0.0,0.4155016620768732,20
AsLS + L2,asls_l2,Combined,39,G9,G6,0.0,0.11186405387146033,20
AsLS + L2,asls_l2,Combined,40,G9,G1,0.0,0.11095713769937379,20
AsLS + L2,asls_l2,Combined,41,G10,G2,0.0,0.1682664902629592,20
AsLS + L2,asls_l2,Combined,42,G10,G2,0.0,0.11192487230557331,20
AsLS + L2,asls_l2,Combined,43,G11,G5,0.0,0.10890612697057873,20
AsLS + L2,asls_l2,Combined,44,G11,G2,0.0,0.10726665636770645,20
AsLS + SNV,asls_snv,250 nm,1,G1,G9,0.0,0.24429115024457598,20
AsLS + SNV,asls_snv,250 nm,3,G1,G4,0.0,0.7437638376173423,20
AsLS + SNV,asls_snv,250 nm,4,G2,G6,0.0,0.10689255685778243,20
AsLS + SNV,asls_snv,250 nm,5,G2,G2,0.5,0.07419476114409304,20
AsLS + SNV,asls_snv,250 nm,6,G2,G2,0.55,0.11787465469152614,20
AsLS + SNV,asls_snv,250 nm,7,G2,G2,0.75,0.14903383016971775,20
AsLS + SNV,asls_snv,250 nm,8,G2,G6,0.1,0.2622881512341267,20
AsLS + SNV,asls_snv,250 nm,9,G3,G6,0.05,0.22349897286592918,20
AsLS + SNV,asls_snv,250 nm,10,G3,G6,0.05,0.0863559208414555,20
AsLS + SNV,asls_snv,250 nm,11,G3,G4,0.0,0.30012062589322175,20
AsLS + SNV,asls_snv,250 nm,12,G3,G6,0.0,0.330927948938746,20
AsLS + SNV,asls_snv,250 nm,13,G4,G6,0.05,0.08857903753615787,20
AsLS + SNV,asls_snv,250 nm,14,G4,G4,0.95,0.32429438141918954,20
AsLS + SNV,asls_snv,250 nm,15,G4,G4,0.95,0.5546197701606144,20
AsLS + SNV,asls_snv,250 nm,16,G4,G4,1.0,0.5118337879179038,20
AsLS + SNV,asls_snv,250 nm,17,G4,G4,0.5,0.19495599954119158,20
AsLS + SNV,asls_snv,250 nm,18,G4,G4,0.7,0.18610394108254574,20
AsLS + SNV,asls_snv,250 nm,19,G4,G4,0.65,0.22258473778797488,20
AsLS + SNV,asls_snv,250 nm,20,G5,G6,0.0,0.46155666251521177,20
AsLS + SNV,asls_snv,250 nm,21,G5,G2,0.0,0.7506673290249266,20
AsLS + SNV,asls_snv,250 nm,22,G5,G4,0.0,0.15581364543176204,20
AsLS + SNV,asls_snv,250 nm,23,G5,G2,0.0,0.12449708938400812,20
AsLS + SNV,asls_snv,250 nm,24,G6,G6,0.6,0.15891629177276306,20
AsLS + SNV,asls_snv,250 nm,26,G6,G6,0.55,0.21609084769307413,20
AsLS + SNV,asls_snv,250 nm,27,G6,G6,0.85,0.17261397406736084,20
AsLS + SNV,asls_snv,250 nm,28,G6,G5,0.25,0.20649856881316503,20
AsLS + SNV,asls_snv,250 nm,30,G6,G6,0.6,0.14678563028027855,20
AsLS + SNV,asls_snv,250 nm,31,G6,G4,0.0,0.29443458772544834,20
AsLS + SNV,asls_snv,250 nm,32,G6,G2,0.45,0.1398440752938231,20
AsLS + SNV,asls_snv,250 nm,33,G6,G6,0.65,0.15055128195304873,20
AsLS + SNV,asls_snv,250 nm,34,G7,G6,0.0,0.18248914776851732,20
AsLS + SNV,asls_snv,250 nm,36,G7,G6,0.0,0.09050668822268913,20
AsLS + SNV,asls_snv,250 nm,37,G8,G6,0.0,0.14109266999291226,20
AsLS + SNV,asls_snv,250 nm,38,G8,G4,0.0,0.21593500073243094,20
AsLS + SNV,asls_snv,250 nm,39,G9,G6,0.0,0.1450170656676004,20
AsLS + SNV,asls_snv,250 nm,40,G9,G6,0.0,0.12891878661702205,20
AsLS + SNV,asls_snv,250 nm,41,G10,G2,0.0,0.12828553991278002,20
AsLS + SNV,asls_snv,250 nm,42,G10,G2,0.0,0.16906096169742574,20
AsLS + SNV,asls_snv,250 nm,43,G11,G5,0.0,0.11655683587841606,20
AsLS + SNV,asls_snv,250 nm,44,G11,G2,0.25,0.10146299799022532,20
AsLS + SNV,asls_snv,308 nm,1,G1,G7,0.0,0.16470567604358882,20
