SampleId,Wavelength,AbsAUC,MaxAbs,MeanAbs,ActualClass,Year
21,308,14.7751494485883,0.6163943,0.008208416360326834,G5,1404
22,308,16.523499345315,0.608792,0.009179721858508332,G5,1404
23,308,16.309829001536798,0.4400817,0.009061016111964887,G5,1404
24,308,18004325.666666664,215172.33333333334,10002.403148148147,G6,1394
26,308,27347577.0,224257.5,15193.098333333333,G6,1394
27,308,18514594.0,329381.5,10285.885555555555,G6,1394
28,308,21951647.333333336,309489.6666666667,12195.359629629631,G6,1394
30,308,15.952136657695501,0.5862774,0.008862298143164167,G6,1404
31,308,14.134322044820319,0.5818481,0.00785240113601129,G6,1404
32,308,15.361292724300998,0.7339427,0.008534051513500555,G6,1404
33,308,15.154038505902001,0.5394415,0.008418910281056667,G6,1404
34,308,18355373.333333332,338887.0,10197.429629629629,G7,1394
36,308,14282712.666666668,210842.33333333334,7934.840370370371,G7,1394
37,308,16055031.0,257483.66666666666,8919.461666666666,G8,1394
38,308,13.2964811861863,0.3071636,0.0073869339923257225,G8,1404
39,308,17085033.0,268921.3333333333,9491.685,G9,1394
40,308,9055067.49,142528.30666666667,5030.59305,G9,1394
41,308,22.3323153765922,0.4996551,0.012406841875884554,G10,1404
42,308,19.8872023685332,0.6083344,0.011048445760296222,G10,1404
43,308,18.042225209473,0.4097565,0.010023458449707222,G11,1404
44,308,18.764128911423,0.5065343,0.010424516061901668,G11,1404
1,440,46704651.666666664,1845250.0,25947.0287037037,G1,1394
3,440,28.763648073176803,1.952058,0.015979804485098226,G1,1404
4,440,62687057.0,2586113.0,34826.14277777778,G2,1394
5,440,31.6630156492506,1.875185,0.017590564249583666,G2,1404
6,440,26.22717605597764,1.907963,0.014570653364432022,G2,1404
7,440,23.5788723351596,1.77411,0.01309937351953311,G2,1404
8,440,26.6613402436796,1.963765,0.014811855690933112,G2,1404
9,440,48598234.666666664,2461563.6666666665,26999.019259259258,G3,1394
10,440,57644791.66666667,2534133.3333333335,32024.884259259263,G3,1394
11,440,25.7320942138881,1.887445,0.0142956078966045,G3,1404
12,440,29.2188582333327,1.931494,0.016232699018518166,G3,1404
13,440,67713000.66666666,2527990.6666666665,37618.3337037037,G4,1394
14,440,28.600514502300438,1.995634,0.015889174723500245,G4,1404
15,440,31.0827575151951,1.993142,0.017268198619552835,G4,1404
16,440,27.8840045439808,1.937741,0.01549111363554489,G4,1404
17,440,30.9323713149634,1.952495,0.017184650730535222,G4,1404
18,440,35.6306396475782,1.673002,0.01979479980421011,G4,1404
19,440,29.785823948082,1.969864,0.016547679971156668,G4,1404
20,440,39804256.333333336,1944272.0,22113.47574074074,G5,1394
21,440,31.665072767808002,2.011344,0.017591707093226668,G5,1404
22,440,27.168010539579097,1.952964,0.015093339188655054,G5,1404
23,440,23.626129947943806,1.73738,0.01312562774885767,G5,1404
24,440,63576114.33333333,2569096.6666666665,35320.06351851852,G6,1394
26,440,45436247.0,1800348.0,25242.359444444446,G6,1394
27,440,61229115.00000001,2432118.3333333335,34016.175,G6,1394
28,440,42741139.99999999,1753962.3333333333,23745.077777777773,G6,1394
30,440,29.326313975553912,1.957621,0.016292396653085506,G6,1404
31,440,26.611532869932304,1.914611,0.014784184927740168,G6,1404
32,440,28.8494336907998,1.979964,0.016027463161555445,G6,1404
33,440,30.0234988997846,1.950425,0.016679721610991443,G6,1404
34,440,58212352.00000001,2532105.3333333335,32340.19555555556,G7,1394
36,440,60317581.66666667,2610488.0,33509.767592592594,G7,1394
37,440,59691908.666666664,2529674.3333333335,33162.17148148148,G8,1394
38,440,27.218904237984002,1.534754,0.015121613465546668,G8,1404
39,440,57117512.333333336,2527594.0,31731.951296296298,G9,1394
40,440,57014982.0,2510628.0,31674.99,G9,1394
41,440,29.704213002185334,1.831881,0.01650234055676963,G10,1404
42,440,31.2823544648557,1.932395,0.01737908581380872,G10,1404
43,440,27.213889452543395,1.858914,0.01511882747363522,G11,1404
44,440,27.1027381955367,1.881179,0.015057076775298165,G11,1404
