Normalization,Modality,PC,YearEtaSquared
AsLS+SNV,250 nm,PC3,0.007120350570688668
AsLS+SNV,250 nm,PC4,0.0003045531710156132
AsLS+SNV,250 nm,PC5,0.007845769931170999
AsLS+SNV,250 nm,PC6,5.020828664516723e-08
AsLS+SNV,250 nm,PC7,2.7886465123736692e-11
AsLS+SNV,250 nm,PC8,0.0005222234580228772
AsLS+SNV,250 nm,PC9,0.0015825053230803894
AsLS+SNV,250 nm,PC10,3.0254467799967168e-05
AsLS+SNV,308 nm,PC1,0.9335301652346772
AsLS+SNV,308 nm,PC2,0.0036383952109844075
AsLS+SNV,308 nm,PC3,0.015136806601525088
AsLS+SNV,308 nm,PC4,0.002704070073440565
AsLS+SNV,308 nm,PC5,0.007493294852017284
AsLS+SNV,308 nm,PC6,2.962265984001988e-05
AsLS+SNV,308 nm,PC7,3.265980170777141e-05
AsLS+SNV,308 nm,PC8,0.01842379653922766
AsLS+SNV,308 nm,PC9,0.009791901203874208
AsLS+SNV,308 nm,PC10,0.0011963769359800546
AsLS+SNV,440 nm,PC1,0.9708340703665673
AsLS+SNV,440 nm,PC2,0.004909185103522526
AsLS+SNV,440 nm,PC3,0.019491418846406518
AsLS+SNV,440 nm,PC4,0.000779227127698672
AsLS+SNV,440 nm,PC5,0.0012451772718591442
AsLS+SNV,440 nm,PC6,0.00010840361696160568
AsLS+SNV,440 nm,PC7,0.00135934221072488
AsLS+SNV,440 nm,PC8,1.6564661674940704e-06
AsLS+SNV,440 nm,PC9,0.00010112614138245004
AsLS+SNV,440 nm,PC10,1.7841313552454614e-05
AsLS+SNV,Combined,PC1,0.9809584838583347
AsLS+SNV,Combined,PC2,0.0013377948039019066
AsLS+SNV,Combined,PC3,0.0011933924622294712
AsLS+SNV,Combined,PC4,0.007092004883921535
AsLS+SNV,Combined,PC5,0.0052981394897852275
AsLS+SNV,Combined,PC6,0.0008079384797627434
AsLS+SNV,Combined,PC7,0.0004917208236388523
AsLS+SNV,Combined,PC8,7.423235613922888e-05
AsLS+SNV,Combined,PC9,0.0003263869834490464
AsLS+SNV,Combined,PC10,4.28660156540878e-05
