Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,UniqueSamplesAffected
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G4,19,0.02375,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G4,19,0.02375,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G4,18,0.0225,3
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G8,16,0.02,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G6,16,0.02,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G2,15,0.01875,3
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G6,15,0.01875,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G5,14,0.0175,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G5,13,0.01625,5
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G6,12,0.015,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G2,12,0.015,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G2,12,0.015,5
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G5,11,0.01375,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G2,10,0.0125,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G5,10,0.0125,3
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G3,9,0.01125,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G6,8,0.01,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G3,8,0.01,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G4,7,0.00875,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G3,7,0.00875,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G2,7,0.00875,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G3,6,0.0075,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G6,5,0.00625,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G1,5,0.00625,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G3,5,0.00625,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G4,5,0.00625,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G11,4,0.005,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G1,4,0.005,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G2,4,0.005,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G3,4,0.005,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G1,4,0.005,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G3,4,0.005,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G2,3,0.00375,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G3,3,0.00375,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G9,2,0.0025,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G4,2,0.0025,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G9,2,0.0025,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G9,2,0.0025,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G3,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G3,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G11,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G5,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G7,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G9,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G7,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G1,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G11,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G1,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G5,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G8,G2,1,0.00125,1
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G6,82,0.1025,8
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G4,44,0.055,6
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G2,38,0.0475,3
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G11,G11,4,0.005,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G9,G9,4,0.005,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G3,1,0.00125,1
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G6,G4,48,0.06,5
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G3,G6,34,0.0425,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G5,G4,34,0.0425,3
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G10,G2,32,0.04,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G11,G2,29,0.03625,2
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,G2,G6,28,0.035,4
