Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,Samples,MajorityCorrectSamples,MajorityCorrectRate,MostlyCorrectSamples_75pct,MeanSampleCorrectRate,MeanStability,MeanDecisionMargin
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,4,0,0.0,0,0.0125,0.5625,0.19827749001044775
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,8,5,0.625,3,0.5375000000000001,0.6937500000000001,0.20925930040906648
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,2,1,0.5,0,0.3,0.725,0.05402678953050328
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,2,0,0.0,0,0.0,0.75,0.2089598344180562
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G9,2,2,1.0,2,0.85,0.85,0.07224662537765161
Raw | 250 nm,Raw,raw,250 nm,G1,2,0,0.0,0,0.0,0.6,0.1290073270744605
Raw | 250 nm,Raw,raw,250 nm,G10,2,0,0.0,0,0.0,0.6,0.07926175156773403
Raw | 250 nm,Raw,raw,250 nm,G11,2,0,0.0,0,0.0,0.6,0.0792617613182034
Raw | 250 nm,Raw,raw,250 nm,G2,5,0,0.0,0,0.09000000000000001,0.6,0.09092625423116722
Raw | 250 nm,Raw,raw,250 nm,G3,4,0,0.0,0,0.0,0.5,0.14006971408146368
Raw | 250 nm,Raw,raw,250 nm,G4,7,5,0.7142857142857143,0,0.4357142857142858,0.5142857142857143,0.1306582853137663
Raw | 250 nm,Raw,raw,250 nm,G5,4,0,0.0,0,0.0,0.6125,0.13906367068594833
Raw | 250 nm,Raw,raw,250 nm,G6,8,2,0.25,0,0.275,0.6125,0.1452360494571771
Raw | 250 nm,Raw,raw,250 nm,G7,2,0,0.0,0,0.30000000000000004,0.4,0.1345136154416957
Raw | 250 nm,Raw,raw,250 nm,G8,2,0,0.0,0,0.0,0.525,0.1156987357888654
Raw | 250 nm,Raw,raw,250 nm,G9,2,0,0.0,0,0.0,0.475,0.2420702074196095
Raw | 308 nm,Raw,raw,308 nm,G1,2,0,0.0,0,0.0,0.6,0.10594018994633542
Raw | 308 nm,Raw,raw,308 nm,G10,2,0,0.0,0,0.0,0.6,0.07926543229163768
Raw | 308 nm,Raw,raw,308 nm,G11,2,0,0.0,0,0.0,0.6,0.07926547527040728
Raw | 308 nm,Raw,raw,308 nm,G2,5,0,0.0,0,0.12000000000000002,0.64,0.08805303727902304
Raw | 308 nm,Raw,raw,308 nm,G3,4,2,0.5,0,0.2625,0.5375,0.1604841614142054
Raw | 308 nm,Raw,raw,308 nm,G4,7,4,0.5714285714285714,0,0.42857142857142855,0.5,0.09694910784790033
Raw | 308 nm,Raw,raw,308 nm,G5,4,0,0.0,0,0.0,0.6125,0.13369884152917175
Raw | 308 nm,Raw,raw,308 nm,G6,8,1,0.125,0,0.1875,0.6375,0.3078929744260358
Raw | 308 nm,Raw,raw,308 nm,G7,2,2,1.0,2,0.8999999999999999,0.8999999999999999,0.14455586650179642
Raw | 308 nm,Raw,raw,308 nm,G8,2,0,0.0,0,0.0,0.675,0.08741007373310059
Raw | 308 nm,Raw,raw,308 nm,G9,2,1,0.5,1,0.45,0.6,0.16392575808988374
Raw | 440 nm,Raw,raw,440 nm,G1,2,0,0.0,0,0.0,0.425,0.08775955082081056
Raw | 440 nm,Raw,raw,440 nm,G10,2,0,0.0,0,0.0,0.525,0.079100440452051
Raw | 440 nm,Raw,raw,440 nm,G11,2,0,0.0,0,0.0,0.5249999999999999,0.07910046080034958
Raw | 440 nm,Raw,raw,440 nm,G2,5,0,0.0,0,0.12000000000000002,0.5599999999999999,0.10929904799005855
Raw | 440 nm,Raw,raw,440 nm,G3,4,0,0.0,0,0.0,0.4625,0.14389430943354223
Raw | 440 nm,Raw,raw,440 nm,G4,7,4,0.5714285714285714,0,0.36428571428571427,0.4714285714285714,0.11373201606678382
Raw | 440 nm,Raw,raw,440 nm,G5,4,0,0.0,0,0.0,0.4875,0.27239342019126034
Raw | 440 nm,Raw,raw,440 nm,G6,8,4,0.5,0,0.3375,0.6,0.16368030654231597
Raw | 440 nm,Raw,raw,440 nm,G7,2,1,0.5,0,0.22499999999999998,0.35,0.08771666129745492
Raw | 440 nm,Raw,raw,440 nm,G8,2,0,0.0,0,0.0,0.8,0.21164906165812
Raw | 440 nm,Raw,raw,440 nm,G9,2,2,1.0,1,0.6,0.6,0.13594317449559878
Raw | Combined,Raw,raw,Combined,G1,2,0,0.0,0,0.0,0.575,0.0779792297733652
Raw | Combined,Raw,raw,Combined,G10,2,0,0.0,0,0.0,0.575,0.0797109772647615
Raw | Combined,Raw,raw,Combined,G11,2,0,0.0,0,0.0,0.575,0.0797109836235804
Raw | Combined,Raw,raw,Combined,G2,5,0,0.0,0,0.13,0.6,0.0919688918888667
Raw | Combined,Raw,raw,Combined,G3,4,0,0.0,0,0.0125,0.48750000000000004,0.14329860214919668
Raw | Combined,Raw,raw,Combined,G4,7,5,0.7142857142857143,0,0.40714285714285714,0.4857142857142857,0.11830575635553674
Raw | Combined,Raw,raw,Combined,G5,4,0,0.0,0,0.0,0.55,0.1686306651958247
Raw | Combined,Raw,raw,Combined,G6,8,3,0.375,2,0.33125,0.6375,0.19348618072346901
Raw | Combined,Raw,raw,Combined,G7,2,2,1.0,0,0.575,0.575,0.07920058360736504
Raw | Combined,Raw,raw,Combined,G8,2,0,0.0,0,0.0,0.625,0.07468749349691275
Raw | Combined,Raw,raw,Combined,G9,2,1,0.5,1,0.5,0.675,0.05556434204075993
SNV | 250 nm,SNV,snv,250 nm,G1,2,0,0.0,0,0.0,0.75,0.42416410028418555
SNV | 250 nm,SNV,snv,250 nm,G10,2,0,0.0,0,0.0,0.625,0.14924480469441126
SNV | 250 nm,SNV,snv,250 nm,G11,2,0,0.0,0,0.3,0.525,0.11141853485612074
SNV | 250 nm,SNV,snv,250 nm,G2,5,3,0.6,2,0.45,0.72,0.1627515138671761
SNV | 250 nm,SNV,snv,250 nm,G3,4,0,0.0,0,0.0125,0.775,0.22581675207746094
SNV | 250 nm,SNV,snv,250 nm,G4,7,6,0.8571428571428571,3,0.5999999999999999,0.6357142857142856,0.28946689323928465
SNV | 250 nm,SNV,snv,250 nm,G5,4,0,0.0,0,0.0,0.6375,0.23797740964402517
SNV | 250 nm,SNV,snv,250 nm,G6,8,7,0.875,2,0.5375,0.65625,0.1865737004239753
SNV | 250 nm,SNV,snv,250 nm,G7,2,0,0.0,0,0.0,0.8,0.15074885787084863
SNV | 250 nm,SNV,snv,250 nm,G8,2,0,0.0,0,0.0,0.8,0.17986469485394058
SNV | 250 nm,SNV,snv,250 nm,G9,2,0,0.0,0,0.0,0.525,0.13006147529283135
SNV | 308 nm,SNV,snv,308 nm,G1,2,0,0.0,0,0.0,0.6499999999999999,0.18406003406788962
SNV | 308 nm,SNV,snv,308 nm,G10,2,0,0.0,0,0.0,0.575,0.0829042950764768
SNV | 308 nm,SNV,snv,308 nm,G11,2,0,0.0,0,0.0,0.7,0.08936603021817527
SNV | 308 nm,SNV,snv,308 nm,G2,5,1,0.2,0,0.27,0.53,0.11155969567555961
SNV | 308 nm,SNV,snv,308 nm,G3,4,1,0.25,0,0.11249999999999999,0.475,0.1318352510162848
SNV | 308 nm,SNV,snv,308 nm,G4,7,5,0.7142857142857143,2,0.5785714285714285,0.65,0.1455006666859162
SNV | 308 nm,SNV,snv,308 nm,G5,4,0,0.0,0,0.0,0.6125,0.15623372876781816
SNV | 308 nm,SNV,snv,308 nm,G6,8,4,0.5,0,0.31875,0.60625,0.22107663709283618
SNV | 308 nm,SNV,snv,308 nm,G7,2,1,0.5,1,0.6,0.675,0.052583013712433534
SNV | 308 nm,SNV,snv,308 nm,G8,2,0,0.0,0,0.0,0.675,0.2877716122096417
SNV | 308 nm,SNV,snv,308 nm,G9,2,2,1.0,2,0.825,0.825,0.14436749310277341
SNV | 440 nm,SNV,snv,440 nm,G1,2,0,0.0,0,0.0,0.6,0.23070780586399184
SNV | 440 nm,SNV,snv,440 nm,G10,2,0,0.0,0,0.0,0.7250000000000001,0.11568399468696008
SNV | 440 nm,SNV,snv,440 nm,G11,2,0,0.0,0,0.0,0.42500000000000004,0.1021581917793038
SNV | 440 nm,SNV,snv,440 nm,G2,5,0,0.0,0,0.12999999999999998,0.6900000000000001,0.15529315949995381
SNV | 440 nm,SNV,snv,440 nm,G3,4,0,0.0,0,0.0,0.5625,0.18113132026064782
SNV | 440 nm,SNV,snv,440 nm,G4,7,3,0.42857142857142855,1,0.32857142857142857,0.5714285714285715,0.1922913615603024
SNV | 440 nm,SNV,snv,440 nm,G5,4,0,0.0,0,0.0125,0.6500000000000001,0.28605291774060654
SNV | 440 nm,SNV,snv,440 nm,G6,8,6,0.75,3,0.5625,0.65,0.21554156990735956
SNV | 440 nm,SNV,snv,440 nm,G7,2,0,0.0,0,0.025,0.45,0.11235662283008667
SNV | 440 nm,SNV,snv,440 nm,G8,2,0,0.0,0,0.0,0.7749999999999999,0.39434468088589114
SNV | 440 nm,SNV,snv,440 nm,G9,2,1,0.5,0,0.2,0.35,0.07020978789906462
SNV | Combined,SNV,snv,Combined,G1,2,0,0.0,0,0.0,0.7,0.2572356321816773
SNV | Combined,SNV,snv,Combined,G10,2,0,0.0,0,0.0,0.525,0.10407270731850202
SNV | Combined,SNV,snv,Combined,G11,2,0,0.0,0,0.0,0.6,0.0849161232682758
SNV | Combined,SNV,snv,Combined,G2,5,1,0.2,0,0.19,0.58,0.14903570081810952
SNV | Combined,SNV,snv,Combined,G3,4,0,0.0,0,0.0625,0.6375000000000001,0.17515745214588072
SNV | Combined,SNV,snv,Combined,G4,7,6,0.8571428571428571,4,0.6928571428571428,0.7071428571428572,0.23326667498470213
SNV | Combined,SNV,snv,Combined,G5,4,0,0.0,0,0.0125,0.6625,0.1927146649918096
SNV | Combined,SNV,snv,Combined,G6,8,5,0.625,3,0.525,0.68125,0.21461548393116525
SNV | Combined,SNV,snv,Combined,G7,2,1,0.5,0,0.325,0.7,0.03177400694992758
SNV | Combined,SNV,snv,Combined,G8,2,0,0.0,0,0.0,0.625,0.1457620819379727
SNV | Combined,SNV,snv,Combined,G9,2,2,1.0,0,0.47500000000000003,0.47500000000000003,0.020987975929150332
