TopK,Feature,SelectionCount,MeanFScore,SelectionRate
60,250_peak_2_height,40,2.1439098857042524,1.0
60,308_peak_2_time,40,2.120341340719164,1.0
60,308_peak_2_height,40,1.9702855318854346,1.0
60,308_peak_1_area,40,1.8272814010136056,1.0
60,440_retention_center,40,1.8066164178517305,1.0
60,250_peak_3_height,40,1.7719206495894475,1.0
60,250_fraction_early,40,1.5819818896287496,1.0
60,250_area_middle,40,1.4389060824588067,1.0
60,250_fraction_middle,40,1.3524393810546707,1.0
60,440_peak_1_area,40,1.1609571536807208,1.0
60,440_fraction_early,40,1.1475002264421392,1.0
60,440_fraction_late,40,1.1396147023832965,1.0
60,250_retention_center,39,2.134817476320404,0.975
60,308_area_late,39,1.9623104078668245,0.975
60,440_peak_3_height,39,1.8844967477019219,0.975
60,250_peak_3_time,39,1.3067689336089499,0.975
60,440_peak_2_time,39,1.3000562695309958,0.975
60,440_peak_1_time,39,1.2922988247092448,0.975
60,440_tmax,39,1.2922988247092448,0.975
60,250_peak_count,38,1.6849252773229033,0.95
60,250_range,38,1.6587742917064432,0.95
60,250_abs_area,38,1.3250838764501864,0.95
60,250_positive_area,38,1.3248009682934991,0.95
60,440_max,38,1.2373778530310564,0.95
60,440_peak_1_height,38,1.2373778530310564,0.95
60,440_fraction_middle,38,1.1701497724734367,0.95
60,440_peak_3_time,38,1.1115367317549723,0.95
60,250_std,37,2.6154168960786066,0.925
60,250_max,37,1.7404173677840395,0.925
60,440_range,37,1.2588138598285306,0.925
60,308_peak_3_height,37,1.0657017173072119,0.925
60,308_std,36,1.9728063935266447,0.9
60,250_peak_1_height,36,1.7709139764202861,0.9
60,250_fraction_late,36,1.2552971438128901,0.9
60,308_area,36,1.120801423732149,0.9
60,250_peak_2_area,35,2.8914867638074244,0.875
60,308_peak_2_area,35,1.424306285689138,0.875
60,250_peak_1_time,34,2.3644420305189033,0.85
60,250_tmax,34,2.3644420305189033,0.85
60,308_retention_center,34,1.291198027333358,0.85
60,440_peak_count,34,1.261641767989516,0.85
60,308_peak_count,33,1.4099022647032096,0.825
60,250_peak_1_area,32,1.6726785038456786,0.8
60,250_area_late,31,2.62944856346304,0.775
60,440_peak_2_area,31,1.1523795645127508,0.775
60,308_positive_area,31,1.0876846847635382,0.775
60,440_peak_2_height,31,0.930151499461229,0.775
60,308_fraction_middle,30,1.3514161205086304,0.75
60,440_area_early,30,1.2193016212438685,0.75
60,308_abs_area,30,1.1074400642982143,0.75
60,440_area,30,1.089268804544332,0.75
60,250_area,28,1.1350872851788931,0.7
60,250_peak_2_time,27,1.6379873717073754,0.675
60,308_fraction_early,27,1.4691599939946567,0.675
60,440_peak_3_area,27,1.3001549121692335,0.675
60,308_peak_3_area,26,1.1276858746668235,0.65
60,440_positive_area,26,1.0719991883497006,0.65
60,440_abs_area,26,1.071972457723365,0.65
60,440_area_late,25,0.9422811574978048,0.625
60,308_peak_1_time,22,1.613592401001764,0.55
60,308_tmax,22,1.613592401001764,0.55
60,440_std,22,0.7422959793619222,0.55
60,440_area_middle,21,1.1327088874040956,0.525
60,308_peak_3_time,19,0.9474982136081662,0.475
60,308_max,15,1.1632594282797875,0.375
60,308_peak_1_height,15,1.1632594282797875,0.375
60,308_area_middle,14,1.1403306571988445,0.35
60,308_range,14,1.1381154582375397,0.35
