ppm,PC1_loading
5.84496,-0.023017252761294158
5.84596,-0.023110578445590984
5.84696,-0.02288737113560473
5.84796,-0.022691404342435387
5.84896,-0.0226241145951652
5.84996,-0.022529033261237473
5.85096,-0.022435195237758828
5.85196,-0.022163295636425853
5.85296,-0.021989854585640713
5.85396,-0.02151985191447328
5.85496,-0.02127229530646837
5.85596,-0.020504871892290204
5.85696,-0.019695396195037976
5.85796,-0.01889344493159139
5.85896,-0.01835170323219449
5.85996,-0.01773792272249026
5.86096,-0.016520334032851747
5.86196,-0.015540531368635363
5.86296,-0.015052562374109428
5.86396,-0.014440984854129323
5.86496,-0.013689683098666394
5.86596,-0.01315497002345703
5.86696,-0.012549229798930497
5.86796,-0.012136480817727157
5.86896,-0.011854166861398317
5.86996,-0.011363799211030054
5.87096,-0.010992002349982348
5.87196,-0.010768671591974347
5.87296,-0.010606488419441923
5.87396,-0.01045432142587035
5.87496,-0.010245380064311353
5.87596,-0.010140557701130494
5.87696,-0.01003232772655618
5.87796,-0.009902206945064145
5.87896,-0.009829010913335379
5.87996,-0.009791878617490988
5.88096,-0.009775276104246285
5.88196,-0.009764597862736181
5.88296,-0.009833872253331304
5.88396,-0.009984181986400473
5.88496,-0.010188717521499465
5.88596,-0.010536762946346558
5.88696,-0.010994848154108504
5.88796,-0.011419526124401351
5.88896,-0.011953514777484214
5.88996,-0.012478551214923967
5.89096,-0.012878795684861732
5.89196,-0.013109809832133806
5.89296,-0.013438830352326894
5.89396,-0.01357621537066299
5.89496,-0.013542089058010909
5.89596,-0.013605558727325114
5.89696,-0.013541922263804053
5.89796,-0.0133995955395857
5.89896,-0.013142949220662335
5.89996,-0.012947687360593305
5.90096,-0.01266620931376557
5.90196,-0.012399661798444503
5.90296,-0.01211353804224075
5.90396,-0.011917092770589516
5.90496,-0.011711952125296222
5.90596,-0.011483981944683757
5.90696,-0.011349974194344678
5.90796,-0.011217859214089427
5.90896,-0.011079638034553736
5.90996,-0.0109895633300975
5.91096,-0.010939236950710616
5.91196,-0.010929838049100632
5.91296,-0.010929779140025816
5.91396,-0.011003280563214285
5.91496,-0.01121233542216648
5.91596,-0.011473764167849908
5.91696,-0.011913759152111932
5.91796,-0.012584372476980141
5.91896,-0.013490357467986507
