Model,TopK,Fold,Accuracy,BalancedAccuracy,F1Macro
RandomForest,50,14,0.09523809523809523,0.13636363636363635,0.05909090909090909
RandomForest,50,15,0.045454545454545456,0.018181818181818184,0.0202020202020202
RandomForest,50,16,0.09523809523809523,0.048484848484848485,0.06818181818181818
RandomForest,50,17,0.045454545454545456,0.045454545454545456,0.03636363636363637
RandomForest,50,18,0.047619047619047616,0.0303030303030303,0.018181818181818184
RandomForest,50,19,0.09090909090909091,0.06818181818181818,0.08658008658008658
RandomForest,50,20,0.14285714285714285,0.15454545454545454,0.07142857142857142
XGBoost,10,1,0.22727272727272727,0.18181818181818182,0.19191919191919193
XGBoost,10,2,0.23809523809523808,0.1303030303030303,0.09696969696969697
XGBoost,10,3,0.045454545454545456,0.045454545454545456,0.025974025974025972
XGBoost,10,4,0.14285714285714285,0.06666666666666667,0.05325987144168962
XGBoost,10,5,0.22727272727272727,0.12727272727272726,0.10773317591499408
XGBoost,10,6,0.19047619047619047,0.1575757575757576,0.12727272727272726
XGBoost,10,7,0.18181818181818182,0.10454545454545454,0.081002331002331
XGBoost,10,8,0.2857142857142857,0.20606060606060606,0.11818181818181818
XGBoost,10,9,0.09090909090909091,0.06363636363636363,0.05757575757575757
XGBoost,10,10,0.19047619047619047,0.07272727272727274,0.045454545454545456
XGBoost,10,11,0.09090909090909091,0.03636363636363637,0.03305785123966942
XGBoost,10,12,0.19047619047619047,0.09696969696969697,0.06464646464646463
XGBoost,10,13,0.045454545454545456,0.022727272727272728,0.018181818181818184
XGBoost,10,14,0.14285714285714285,0.05454545454545454,0.03409090909090909
XGBoost,10,15,0.22727272727272727,0.11818181818181818,0.070995670995671
XGBoost,10,16,0.23809523809523808,0.11515151515151514,0.09264069264069263
XGBoost,10,17,0.2727272727272727,0.2,0.14242424242424243
XGBoost,10,18,0.23809523809523808,0.10303030303030303,0.07142857142857142
XGBoost,10,19,0.3181818181818182,0.21363636363636365,0.19318181818181818
XGBoost,10,20,0.14285714285714285,0.09090909090909091,0.0506993006993007
XGBoost,20,1,0.22727272727272727,0.15,0.13383838383838384
XGBoost,20,2,0.14285714285714285,0.05454545454545454,0.0303030303030303
XGBoost,20,3,0.13636363636363635,0.13636363636363635,0.10606060606060605
XGBoost,20,4,0.14285714285714285,0.08181818181818182,0.08658008658008658
XGBoost,20,5,0.2727272727272727,0.21818181818181817,0.13888888888888887
XGBoost,20,6,0.23809523809523808,0.18787878787878787,0.1471861471861472
XGBoost,20,7,0.2727272727272727,0.16818181818181818,0.10232192050373869
XGBoost,20,8,0.38095238095238093,0.22424242424242424,0.18823529411764703
XGBoost,20,9,0.09090909090909091,0.09090909090909091,0.09090909090909091
XGBoost,20,10,0.047619047619047616,0.09090909090909091,0.0606060606060606
XGBoost,20,11,0.13636363636363635,0.08181818181818182,0.05123966942148761
XGBoost,20,12,0.19047619047619047,0.1212121212121212,0.06433566433566434
XGBoost,20,13,0.045454545454545456,0.022727272727272728,0.018181818181818184
XGBoost,20,14,0.14285714285714285,0.10909090909090909,0.05123966942148761
XGBoost,20,15,0.09090909090909091,0.06363636363636363,0.03571428571428571
XGBoost,20,16,0.23809523809523808,0.11515151515151514,0.10303030303030303
XGBoost,20,17,0.18181818181818182,0.1318181818181818,0.11854912764003672
XGBoost,20,18,0.23809523809523808,0.11818181818181818,0.06666666666666667
XGBoost,20,19,0.22727272727272727,0.15,0.12626262626262627
XGBoost,20,20,0.14285714285714285,0.09090909090909091,0.05909090909090909
XGBoost,30,1,0.3181818181818182,0.19090909090909092,0.17012987012987013
XGBoost,30,2,0.14285714285714285,0.05454545454545454,0.03208556149732621
XGBoost,30,3,0.09090909090909091,0.09090909090909091,0.07575757575757575
XGBoost,30,4,0.09523809523809523,0.048484848484848485,0.03996003996003996
XGBoost,30,5,0.2727272727272727,0.21818181818181817,0.1517094017094017
XGBoost,30,6,0.14285714285714285,0.12727272727272726,0.08857808857808858
XGBoost,30,7,0.22727272727272727,0.15,0.09090909090909091
XGBoost,30,8,0.2857142857142857,0.1606060606060606,0.11471861471861472
XGBoost,30,9,0.09090909090909091,0.09090909090909091,0.09090909090909091
XGBoost,30,10,0.047619047619047616,0.0303030303030303,0.022727272727272728
XGBoost,30,11,0.13636363636363635,0.08181818181818182,0.05325987144168962
XGBoost,30,12,0.2857142857142857,0.18484848484848485,0.15396825396825398
XGBoost,30,13,0.045454545454545456,0.022727272727272728,0.01652892561983471
XGBoost,30,14,0.047619047619047616,0.045454545454545456,0.022727272727272728
XGBoost,30,15,0.18181818181818182,0.1,0.06168831168831169
XGBoost,30,16,0.23809523809523808,0.11515151515151514,0.10984848484848485
XGBoost,30,17,0.22727272727272727,0.17727272727272728,0.1313131313131313
XGBoost,30,18,0.2857142857142857,0.14848484848484847,0.11313131313131314
XGBoost,30,19,0.13636363636363635,0.08636363636363636,0.09318181818181817
XGBoost,30,20,0.14285714285714285,0.10606060606060605,0.06313131313131314
XGBoost,50,1,0.18181818181818182,0.08181818181818182,0.06837606837606837
XGBoost,50,2,0.23809523809523808,0.1303030303030303,0.09292929292929292
XGBoost,50,3,0.09090909090909091,0.09090909090909091,0.07272727272727274
XGBoost,50,4,0.38095238095238093,0.20909090909090908,0.16706539074960125
XGBoost,50,5,0.3181818181818182,0.23636363636363636,0.1717171717171717
XGBoost,50,6,0.09523809523809523,0.03636363636363637,0.0303030303030303
XGBoost,50,7,0.2727272727272727,0.16818181818181818,0.0997245179063361
XGBoost,50,8,0.2857142857142857,0.20606060606060606,0.13286713286713286
XGBoost,50,9,0.13636363636363635,0.08636363636363636,0.08116883116883117
XGBoost,50,10,0.0,0.0,0.0
XGBoost,50,11,0.09090909090909091,0.03636363636363637,0.0213903743315508
XGBoost,50,12,0.23809523809523808,0.13939393939393938,0.10484061393152301
XGBoost,50,13,0.09090909090909091,0.04090909090909091,0.0295159386068477
XGBoost,50,14,0.047619047619047616,0.045454545454545456,0.022727272727272728
XGBoost,50,15,0.13636363636363635,0.10909090909090909,0.06270497179588089
XGBoost,50,16,0.2857142857142857,0.13333333333333333,0.101010101010101
XGBoost,50,17,0.13636363636363635,0.08636363636363636,0.06435786435786435
XGBoost,50,18,0.19047619047619047,0.07272727272727274,0.03463203463203463
XGBoost,50,19,0.13636363636363635,0.08636363636363636,0.09545454545454544
XGBoost,50,20,0.14285714285714285,0.10606060606060605,0.06313131313131314
