SampleId,Group,HarvestYear,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43
21,G5,1404,1918.5576406516097,-489.1767618091531,-498.6127049171103,-80.89299844910967,61.69375376686908,41.70136777018485,49.78070143702053,7.3177795634054466,158.1040902914315,34.147015682965204,-47.840639049124334,-17.287694819207733,6.324104531866361,12.734887088650552,5.9770039316442425,22.600822549757318,-63.90459985958086,36.07422639133166,-27.45667996457927,19.396865748537753,-17.21048017245596,-25.629015808203714,-16.552595507223845,-18.119682348688997,9.884471458721363,-15.24540032906291,-19.299032901915687,23.076280837464477,-14.115248762741242,-14.718154488985503,-13.055593778950403,-4.186910297022111,-28.756689476343723,-2.1912119906030605,-11.545861189431125,-7.827237714983971,-4.979183735357229,3.5192600927138145,2.8418286799453316,4.587964679225267,-11.37727156894197,-0.43018217645448703,-6.944163797906763e-13
22,G5,1404,422.8818837224718,-446.6013776762651,-67.42102161960464,165.1227111076037,-32.30628401021839,53.17356887372932,127.38124062699742,-52.116282056447915,77.93961722981105,39.77993790602167,7.975797115003429,-88.01240848344574,66.10965209845618,35.950626927377584,38.98485229541184,38.15459232411976,-48.58036612597116,32.981060385682895,-22.900944003215887,-4.600128496040583,-71.4083211919679,-9.192478513980458,57.652539495899894,23.82833264963837,-34.9449013740729,-3.36422235927025,17.939517243489465,-12.394398832038178,-3.220970194314252,24.904263466140918,1.9630552571869062,-6.720829943569383,6.416105168206713,8.230223105656348,-2.5438013560197428,2.637947683358079,-0.6491936281362736,2.922481448296095,-2.6873856936690803,-15.445449135192971,7.32665086316575,3.5133971965736075,-6.944163797906681e-13
23,G5,1404,137.0046992870572,1770.0659178971323,68.59534997816334,-271.4880456032762,-84.13540243287301,48.79083055560233,56.409753041984324,30.85601299367111,-217.38080562026622,-0.8670324289023615,-235.37544499259278,58.80447279634404,19.2223480951204,80.35385408451006,58.06869741107417,15.287558153011158,2.0362160085653658,-16.26815774430932,-24.364192593604052,-5.224861436076359,-28.947713183648784,5.168103326439529,-1.281702361486941,10.954108817866791,-11.980557911643004,26.441375622063116,-25.21030486931169,3.1192256013366375,-4.707099513174808,1.3670315636539276,2.6007597209666073,-0.4420322965054694,-5.936968999882045,1.374849917322168,-13.956517869953611,3.9945364947873174,3.9099014645857766,1.6828095957108318,-0.3161980516020937,2.0079921849819247,1.8955323903807972,-2.5660840081302365,-6.94416379790671e-13
24,G6,1394,-50.150537328434396,954.5798937250212,235.11672516711917,-25.39488029925395,-228.0490915939988,13.759601218841835,-26.560819983852674,-99.04063170605917,112.67150826564391,-90.1605736345889,-39.43495926424456,-87.81296347168059,-65.7924740782659,-11.955751090800943,-51.57174065074289,10.037461649046644,4.0707947333355845,-36.185162132855396,35.894206200919626,34.64501111299815,0.5986703011867678,3.0267589598194045,28.505283029227787,-29.25263098454812,2.2322768071311665,-25.521527001890473,19.208061993435393,-38.24601472093622,-18.47227265540922,-13.342353606643742,-0.3278471638203081,8.31801112062856,-16.48852218620972,4.445133547225711,-4.417027800670041,-5.169561267292447,-11.486835920619205,-8.877065052937702,8.602266121130114,-0.03189738334750778,10.163242926090263,-2.5862210852043055,-6.944163797906683e-13
25,G6,1394,85.30217516774242,54.393967595705426,232.7260924403449,328.22735420325716,139.44378464688762,-2.7070839107205344,-151.82676766182814,7.983839538426015,94.98962489386427,-68.14694032854219,-101.8972088794728,42.592036525306895,79.2546413455107,-73.44160220411837,21.856596115804813,-0.09029345154652386,-42.294529560472995,-49.80903664924558,-46.721174397341386,28.610741944977118,14.282409090492138,-15.600069647465569,-12.06484529319071,21.623450662739724,9.316967726336902,-41.45296019597947,-11.589580926317717,2.641490023078424,-6.179338675880253,-5.760511169232526,12.003150707159744,11.413461809162825,2.301770793227474,10.053268852624196,9.596065680532442,23.036010883751242,14.667212010265626,7.683633458874479,4.136645596299303,1.5096843034753595,6.180795958596787,3.3920841990111543,-6.944163797906672e-13
26,G6,1394,372.0503093667932,323.18464710907637,632.6899381116227,401.7647423078834,84.32057114434072,-273.6976943316655,-116.6303590708528,-32.07074873332991,41.69347188268328,15.87119662641536,-36.762422070638245,8.546655748284996,66.58657050544917,-109.44892164767623,0.9562807882289083,-40.564259735114305,-9.336378957491103,-5.214080592932691,-55.627204566597854,17.22919367474229,-29.874629822760536,15.316263803912191,-12.97135844400528,5.586701793344055,9.578855592615596,12.038767532226512,-2.441516105161962,-24.982403962521115,3.9428028729120848,1.1137860691711232,-0.2430101532442028,-18.212958697997028,12.218090824997944,-12.420058637123281,-4.22424347505798,-16.31459719985535,-13.22901978784253,-4.454818478421359,-10.82811228835278,5.543539862338134,-9.991527179211616,-2.134567687562527,-6.944163797906739e-13
27,G6,1394,-198.60043981542304,39.72800452369644,66.38131778555774,147.8367690811998,58.85855517659927,-245.33350870554082,14.312365722894391,-15.995738008969678,-69.18349064137561,-61.01124500793292,127.31158506101664,85.89366179852229,-72.26246445641995,-72.59761219047449,-43.894720101428234,50.35258080487194,39.928878120776304,43.70178762889527,-10.466635291617798,-13.209962171589735,3.239982725359748,-15.551469156663972,6.719106772350641,48.32712387464348,4.208131405030304,1.3830363248889392,-14.97108076785653,6.141976980705005,0.5907939957157369,-30.57006641806708,-16.451900782248426,-5.90615927342492,2.2840901967225,12.21573171092124,-24.200537367955675,7.525273174726194,-1.7355284214411952,-5.404167717223554,5.279169555525594,-11.583894977489042,5.8161919730401195,0.790475154443075,-6.944163797906632e-13
28,G6,1394,135.35520474233726,1034.702239153556,-405.8658579780885,-82.54121279902841,-55.59155351297044,93.10197718949631,152.2118394967207,40.380158522264374,176.84468371966662,-134.73856387313614,10.70550407314537,-56.5222994269478,-40.22681312096944,-65.34516788693084,-63.324753396966734,63.920574193176186,24.239932631903198,9.917347511119647,-2.3048259411091716,15.571600244719923,-29.101526775551406,-21.15385089905918,-66.46374223585234,-6.751824627210154,-8.55514135693871,14.905876880557328,-1.3221969652123324,3.139670279758537,19.223872115984697,6.936186293886094,-6.80246338454717,2.594435715427534,8.3216241859711,-10.519102479555379,16.995740813379037,3.310866630735922,4.665407056816442,-1.900244372667633,-5.146149312408199,-12.009712332004112,0.020354733182117713,2.4696777560540037,-6.944163797906687e-13
29,G6,1394,-344.29484303137235,73.75562201316018,-424.36127373384886,152.28901527927943,42.70353655484187,-277.95031684189865,-25.6676395880315,2.443878317813376,-19.596076115846333,-66.11654232861206,119.80742784956759,153.9919197726855,-74.016282590446,-23.392270200572877,-36.32036387512599,22.21217792684399,-25.971867386589224,7.983734642555458,-1.7460891256664561,-39.01882241508355,-15.541690426085504,-21.217406388535313,-14.50533526221355,-0.05368025539836828,-28.034282138375964,5.7679376053018165,4.095715294844202,-18.385307602267147,-20.460096936570647,34.74982782651459,21.988524047416583,11.714189327414005,-11.426573139227784,0.8204132495443852,-0.09591110812915758,0.07923943939812549,1.4883116416325368,1.8920840863844364,4.221651998064613,15.031022431583963,-4.3944189651735295,-4.914933143411584,-6.944163797906735e-13
30,G6,1404,-577.5293902575604,-433.32566734975927,573.9649118531427,82.34568641760634,-130.97228350941958,14.497587494219916,100.00307097612531,88.31740503935178,-80.19567248454766,-42.67356168373863,-0.9410025393707576,-145.4604548038118,28.631133617622815,89.99400901486833,-91.16775512300266,-57.355683496211476,-27.859566085981424,24.942749653378318,12.219124833574945,-12.500104528626538,22.87179056366685,-38.773484843059045,-37.90141421227323,26.90791048757879,4.579658395999379,-21.933970806990214,-18.152552423900442,0.4846896525007752,-0.9324456216761718,24.852884534527007,-6.27466122159283,-6.887562016007102,-4.500093200502548,-16.65155902599212,-10.816197892741165,4.659876746338253,0.320803341762416,-4.65032868077082,-1.9345471125823883,5.308653654137292,9.880989125194338,-3.064335057958556,-6.944163797906701e-13
31,G6,1404,1299.2762296741687,144.06967890410218,-48.520605578620255,-136.18442431180205,-91.45148634251636,-261.53378711718705,90.84044706752556,-112.2117114444321,-59.53861927456663,-34.47028759493582,90.50932741654294,50.42077513227937,40.89282442356517,97.13903853709233,58.366021610647856,-104.77078430411163,-8.849895595943684,6.067310105795916,-18.20090291537186,21.54404826033994,27.278707953279444,-42.036008769206106,-8.003242184549118,21.547681111766266,-16.4518416454655,8.528541791988456,30.736874654707588,-19.660870341133226,23.066612705681965,-21.3779135223689,-12.542879376451388,15.04558588285587,-4.910836332626043,0.7529602851951762,12.391155693837321,-0.3248366078785512,3.662123543724461,0.45349364290199573,-3.6794501400608053,0.9177572586588941,0.10659527903739692,-2.5929766002125385,-6.944163797906697e-13
