ppm,global_mean,global_std
5.55996,8.123594111111112,8.249917935164829
5.56096,8.05531478888889,8.167387107086267
5.56196,8.004987925925926,8.119044066736985
5.56296,7.9705424074074065,8.104217452518649
5.56396,7.918980096296297,8.08010655573884
5.56496,7.853789274074073,7.914500156618067
5.56596,7.839792222222223,7.6596797265339225
5.56696,7.719047259259259,7.505031209479444
5.56796,7.647766629629628,7.487205117351517
5.56896,7.6257061111111115,7.4472523464336104
5.56996,7.5773442592592595,7.281881515655179
5.57096,7.532247985185187,7.163807844286031
5.57196,7.433014959259259,7.1354646289678865
5.57296,7.3294107814814815,7.044638414581594
5.57396,7.256912612555555,6.985744770424482
5.57496,7.189068977407407,6.8586761252257755
5.57596,6.997764911111112,6.750169004105067
5.57696,6.809838459259259,6.593277148227426
5.57796,6.761361988888889,6.425625845158135
5.57896,6.782447385185185,6.40719544876364
5.57996,6.626618037037037,6.332926334209599
5.58096,6.509417918148149,6.194250061424637
5.58196,6.490609407407407,6.131081889857892
5.58296,6.385360851851852,5.978328320063417
5.58396,6.23948311111111,5.884390544788735
5.58496,6.1764381851851855,5.81682352556367
5.58596,6.14742162962963,5.70990521956624
5.58696,6.097633185185186,5.553232537618754
5.58796,6.032439611111111,5.570346678066011
5.58896,5.885607407407408,5.4984636062113
5.58996,5.762945888888889,5.296910866903913
5.59096,5.669588222222223,5.17083432995145
5.59196,5.575128148148148,5.139151871674949
5.59296,5.519610481481481,5.08461967568823
5.59396,5.450124777777778,4.9887954694830965
5.59496,5.356467074074074,4.95688293802998
5.59596,5.2863138888888885,4.932634715203949
5.59696,5.194662222222222,4.868487178639242
5.59796,5.1198975155555555,4.781214499109117
5.59896,4.994815788888889,4.801530017625057
5.59996,5.021793888888889,4.765847432297906
5.60096,4.962875407407408,4.648329217799702
5.60196,4.917691111111111,4.592117970979971
5.60296,4.890646507407407,4.478520468679468
5.60396,4.816399725925925,4.5327014292471315
5.60496,4.690000592592592,4.45785194159461
5.60596,4.636511148148149,4.38840358646819
5.60696,4.553094714814815,4.283547413468197
5.60796,4.5177598111111115,4.290399872709755
5.60896,4.4388437666666665,4.305824865684173
5.60996,4.386277203703704,4.199696254286586
5.61096,4.278263592592592,4.083231650820057
5.61196,4.210047018518519,4.015955405587182
5.61296,4.246322888888889,4.104063092787072
5.61396,4.145247,4.182505005754389
5.61496,3.97420137037037,4.06815583654182
5.61596,3.899741944444444,4.001120177383552
5.61696,3.854026500740741,3.9484792754349876
5.61796,3.8335784703703695,3.9075725540996107
5.61896,3.8362554681481487,3.830086728248026
5.61996,3.8293892518518513,3.766281845320138
5.62096,3.732841203333333,3.7299152527362436
5.62196,3.7039387555555554,3.7207970755459012
5.62296,3.616341096296296,3.7647213194105063
5.62396,3.6083362703703705,3.738819176236013
5.62496,3.578110674074074,3.7941283631872933
5.62596,3.5287619,3.8074585923374946
5.62696,3.485978666666667,3.7533311057068386
5.62796,3.3584659555555554,3.6916872657131496
5.62896,3.2741862992592594,3.594524431908434
5.62996,3.3241539000000007,3.530850432028691
5.63096,3.2004577370370364,3.6653112069333966
5.63196,3.119099218518519,3.6504215110503555
5.63296,3.036449314814815,3.556479938555466
5.63396,2.9767509692592595,3.578926927258684
5.63496,3.0087603444444446,3.5899295785500804
5.63596,3.0126161925925925,3.6023733362425534
5.63696,2.888409900000001,3.642559521137796
5.63796,2.878569555555555,3.5719811665343406
5.63896,2.8381976962962963,3.513874495067532
5.63996,2.8049803888888882,3.557430189492665
5.64096,2.7618173777777772,3.5051600372438574
5.64196,2.7969088148148153,3.549862286832673
5.64296,2.755173974074074,3.5810558360126707
5.64396,2.637263074074074,3.540044328600594
